     A10BcpM ZC2021 09 11.18618720 07 40.29 +83 29 21.6                W     I41
     A10BcpM ZC2021 09 11.32824920 30 41.76 +82 26 45.5                W     I41
     A10BcpM ZC2021 09 12.26420322 16 32.58 +67 58 38.6                W     I41
     A10BcpM ZC2021 09 12.36468322 20 35.44 +65 00 24.6          18.6 rW     I41
     A10BcpM ZC2021 09 12.36673022 20 40.33 +64 56 29.2          21.0 rW     I41
     A10BcpM  C2021 09 13.36646723 01 05.03 +04 31 38.1          16.57oV     T05
     A10BcpM  C2021 09 13.37186023 01 08.50 +04 06 09.4          16.38oV     T05
     A10BcpM  C2021 09 13.37538923 01 10.71 +03 49 33.4          16.34oV     T05
     A10BcpM  C2021 09 13.37755023 01 12.04 +03 39 13.8          16.68oV     T05


     A10BcpM  C2021 09 13.37755023 01 12.04 +03 39 13.8          16.68oV     T05
     A10BcpR  C2021 09 13.51915023 02 37.31 -06 54 59.8          16.02oV     T08
     A10BcpR  C2021 09 13.51961023 02 37.64 -06 56 58.1          16.11oV     T08
     A10BcpR  C2021 09 13.52007123 02 37.99 -06 58 55.1          16.09oV     T08
     A10BcpR  C2021 09 13.52053123 02 38.34 -07 00 50.0          15.99oV     T08
     A10BcpR  C2021 09 13.52099323 02 38.64 -07 02 44.3          16.21oV     T08
     /7030    C2021 09 16.61037 23 02 09.51 -05 36 08.2          18.8 RV     D29
     /7030    C2021 09 16.62805 23 02 08.52 -05 36 10.2          19.4 RV     D29
     P11l86I  C2021 09 13.40866 23 04 48.048-21 12 47.32         21.8 wU     F51
     P11l86I  C2021 09 13.41939 23 04 47.394-21 12 46.93         21.7 wU     F51
     P11l86I  C2021 09 13.43015 23 04 46.734-21 12 46.50         21.7 wU     F51
     P11l86I  C2021 09 13.44086 23 04 46.087-21 12 46.31         21.2 wU     F51
     P11l895  C2021 09 13.40866 23 04 24.470-21 15 45.40         22.1 wU     F51
     P11l895  C2021 09 13.41939 23 04 23.915-21 15 47.13         22.2 wU     F51
     P11l895  C2021 09 13.43015 23 04 23.318-21 15 48.78         21.9 wU     F51
     P11l895  C2021 09 13.44086 23 04 22.753-21 15 50.34         22.0 wU     F51
     P11l8cj  C2021 09 13.40866 23 05 00.159-22 12 18.54         21.8 wU     F51
     P11l8cj  C2021 09 13.41939 23 04 59.615-22 12 20.74         22.0 wU     F51
     P11l8cj  C2021 09 13.43015 23 04 59.055-22 12 22.65         21.6 wU     F51
     P11l8dF  C2021 09 13.42068 23 04 13.843-16 48 59.71         22.0 wU     F51
     P11l8dF  C2021 09 13.43144 23 04 13.096-16 48 58.08         21.9 wU     F51
     P11l8dF  C2021 09 13.44216 23 04 12.382-16 48 56.95         21.9 wU     F51
     P11l8dR  C2021 09 13.40866 23 04 27.439-21 09 07.12         22.1 wU     F51
     P11l8dR  C2021 09 13.41939 23 04 26.893-21 09 08.52         22.3 wU     F51
     P11l8dR  C2021 09 13.44086 23 04 25.878-21 09 11.65         22.0 wU     F51
     P11l8fy  C2021 09 13.43144 23 04 27.677-17 35 21.42         22.0 wU     F51
     P11l8fy  C2021 09 13.44216 23 04 27.235-17 35 25.18         22.0 wU     F51
     P11l8g5  C2021 09 13.40995 23 03 42.326-15 26 14.98         21.9 wU     F51
     P11l8g5  C2021 09 13.42068 23 03 41.726-15 26 15.89         22.0 wU     F51
     P11l8g5  C2021 09 13.43144 23 03 41.119-15 26 16.64         22.1 wU     F51
     P11l8hm  C2021 09 13.40995 23 03 52.197-16 44 02.74         22.0 wU     F51
     P11l8hm  C2021 09 13.42068 23 03 51.614-16 44 05.13         21.9 wU     F51
     P11l8hm  C2021 09 13.44216 23 03 50.497-16 44 09.40         21.9 wU     F51
     P11l8NJ  C2021 09 13.40930 23 04 26.527-19 35 47.99         22.3 wU     F51
     P11l8NJ  C2021 09 13.43079 23 04 25.504-19 35 53.64         22.1 wU     F51
     P11l8NJ  C2021 09 13.44151 23 04 25.005-19 35 56.70         22.0 wU     F51
     P11l8O6  C2021 09 13.40995 23 04 08.999-17 20 50.63         22.4 wU     F51
     P11l8O6  C2021 09 13.42068 23 04 08.513-17 20 56.85         22.2 wU     F51
     P11l8O6  C2021 09 13.43144 23 04 07.981-17 21 03.24         22.3 wU     F51
     P11l8qZ  C2021 09 13.43144 23 04 11.879-15 38 07.94         22.0 wU     F51
     A10BcpR  C2021 09 13.51915023 02 37.31 -06 54 59.8          16.02oV     T08
     A10BcpR  C2021 09 13.51961023 02 37.64 -06 56 58.1          16.11oV     T08
     A10BcpR  C2021 09 13.52007123 02 37.99 -06 58 55.1          16.09oV     T08
     A10BcpR  C2021 09 13.52053123 02 38.34 -07 00 50.0          15.99oV     T08
     A10BcpR  C2021 09 13.52099323 02 38.64 -07 02 44.3          16.21oV     T08
     /7030    C2021 09 16.61037 23 02 09.51 -05 36 08.2          18.8 RV     D29
     /7030    C2021 09 16.62805 23 02 08.52 -05 36 10.2          19.4 RV     D29
     P11l86I  C2021 09 13.40866 23 04 48.048-21 12 47.32         21.8 wU     F51
     P11l86I  C2021 09 13.41939 23 04 47.394-21 12 46.93         21.7 wU     F51
     P11l86I  C2021 09 13.43015 23 04 46.734-21 12 46.50         21.7 wU     F51
     P11l86I  C2021 09 13.44086 23 04 46.087-21 12 46.31         21.2 wU     F51
     P11l895  C2021 09 13.40866 23 04 24.470-21 15 45.40         22.1 wU     F51
     P11l895  C2021 09 13.41939 23 04 23.915-21 15 47.13         22.2 wU     F51
     P11l895  C2021 09 13.43015 23 04 23.318-21 15 48.78         21.9 wU     F51
     P11l895  C2021 09 13.44086 23 04 22.753-21 15 50.34         22.0 wU     F51
     P11l8cj  C2021 09 13.40866 23 05 00.159-22 12 18.54         21.8 wU     F51
     P11l8cj  C2021 09 13.41939 23 04 59.615-22 12 20.74         22.0 wU     F51
     P11l8cj  C2021 09 13.43015 23 04 59.055-22 12 22.65         21.6 wU     F51
     P11l8dF  C2021 09 13.42068 23 04 13.843-16 48 59.71         22.0 wU     F51
     P11l8dF  C2021 09 13.43144 23 04 13.096-16 48 58.08         21.9 wU     F51
     P11l8dF  C2021 09 13.44216 23 04 12.382-16 48 56.95         21.9 wU     F51
     P11l8dR  C2021 09 13.40866 23 04 27.439-21 09 07.12         22.1 wU     F51
     P11l8dR  C2021 09 13.41939 23 04 26.893-21 09 08.52         22.3 wU     F51
     P11l8dR  C2021 09 13.44086 23 04 25.878-21 09 11.65         22.0 wU     F51
     P11l8eu  C2021 09 13.40995 23 03 30.725-16 33 25.44         22.0 wU     F51
     P11l8eu  C2021 09 13.42068 23 03 30.155-16 33 27.14         22.1 wU     F51
     P11l8eu  C2021 09 13.43144 23 03 29.600-16 33 28.92         22.0 wU     F51
     P11l8g5  C2021 09 13.40995 23 03 42.326-15 26 14.98         21.9 wU     F51
     P11l8g5  C2021 09 13.42068 23 03 41.726-15 26 15.89         22.0 wU     F51
     P11l8g5  C2021 09 13.43144 23 03 41.119-15 26 16.64         22.1 wU     F51
     P11l8hm  C2021 09 13.40995 23 03 52.197-16 44 02.74         22.0 wU     F51
     P11l8hm  C2021 09 13.42068 23 03 51.614-16 44 05.13         21.9 wU     F51
     P11l8hm  C2021 09 13.44216 23 03 50.497-16 44 09.40         21.9 wU     F51
     P11l8NJ  C2021 09 13.40930 23 04 26.527-19 35 47.99         22.3 wU     F51
     P11l8NJ  C2021 09 13.43079 23 04 25.504-19 35 53.64         22.1 wU     F51
