     ALA31E  *C2022 10 29.41583 03 34 46.20 +14 40 20.8                      568
     ALA31E  *C2022 10 29.41935 03 34 45.98 +14 40 20.3                      568
     ALA31E  *C2022 10 29.42288 03 34 45.85 +14 40 19.6                      568
     ALA31E  *C2022 10 29.50791 03 34 41.41 +14 40 06.0                      568
     ALA31E  *C2022 10 29.51142 03 34 41.22 +14 40 05.4                      568
     ALA31E  *C2022 10 29.51495 03 34 41.06 +14 40 04.9                      568
     ALA31E  *C2022 10 30.52601 03 33 50.47 +14 37 22.7          24.5        568
     ALA31E  *C2022 10 30.52955 03 33 50.28 +14 37 21.8          24.2        568
     ALA31E  *C2022 10 30.53308 03 33 50.12 +14 37 21.3          24.3        568
     ALA31E  *C2022 10 30.62310 03 33 45.37 +14 37 06.2          24.3        568
     ALA31E  *C2022 10 30.62663 03 33 45.20 +14 37 05.6          24.1        568
     ALA31E  *C2022 10 30.63015 03 33 44.99 +14 37 05.0          23.6        568
     ALA31E  *C2022 10 30.63385 03 33 44.73 +14 37 03.9          24.3        568
     ALA31E  *C2022 10 30.63738 03 33 44.57 +14 37 03.2          24.2        568
     ALA31E  *C2022 10 30.64089 03 33 44.39 +14 37 02.6          24.7        568
     ALA31E  *C2022 10 31.53946 03 32 58.49 +14 34 37.2          23.8        568
     ALA31E  *C2022 10 31.54299 03 32 58.33 +14 34 36.6          23.9        568
     ALA31E  *C2022 10 31.54652 03 32 58.13 +14 34 36.1          24.2        568


     ALA2zN  *C2022 10 31.54652 03 33 15.22 +14 35 42.1          23.7        568
     ALA2zt  *C2022 10 31.54652 03 33 15.69 +14 38 18.8          23.9        568
     ALA30W  *C2022 10 31.54652 03 32 20.29 +14 23 45.8          24.1        568
     ALA31D  *C2022 10 31.54652 03 31 59.76 +14 27 02.0          24.3        568
     ALA31E  *C2022 10 31.54652 03 32 58.13 +14 34 36.1          24.2        568
     ALA31J  *C2022 10 31.54652 03 31 50.54 +14 35 25.3          23.4        568
     ALA31v  *C2022 10 31.54652 03 30 05.61 +14 23 21.4          23.3        568
     ALA31y  *C2022 10 31.54652 03 30 28.39 +14 19 54.2          24.6        568
     ALA321  *C2022 10 31.54652 03 29 59.390+14 11 30.08                     568
     ALA32a  *C2022 10 31.55005 03 29 42.64 +13 58 04.8          24.5        568
     ALA32a  *C2022 10 31.55355 03 29 42.52 +13 58 04.2          24.2        568
     ALA32a  *C2022 10 31.55708 03 29 42.41 +13 58 03.8          24.1        568
     ALA32b  *C2022 10 31.55005 03 28 19.29 +13 56 14.4          24.6        568
     ALA32b  *C2022 10 31.55355 03 28 19.12 +13 56 13.0          24.5        568
     ALA32b  *C2022 10 31.55708 03 28 18.92 +13 56 11.2          25.0        568
     ALA32c  *C2022 10 31.55005 03 28 19.17 +14 03 31.1          23.9        568
     ALA32c  *C2022 10 31.55355 03 28 18.95 +14 03 30.3          23.9        568
     ALA32c  *C2022 10 31.55708 03 28 18.78 +14 03 29.8          24.2        568
     ALA32Q  *C2022 10 31.55005 03 30 18.09 +14 05 05.2          23.7        568
     ALA32Q  *C2022 10 31.55355 03 30 17.92 +14 05 05.2          23.8        568
     ALA32Q  *C2022 10 31.55708 03 30 17.74 +14 05 05.3          24.0        568
     ALA32R  *C2022 10 31.54652 03 30 16.95 +14 07 21.2          23.7        568
     ALA32R  *C2022 10 31.55005 03 30 16.74 +14 07 20.1          24.0        568
     ALA32R  *C2022 10 31.55355 03 30 16.57 +14 07 19.6          23.8        568
     ALA32R  *C2022 10 31.55708 03 30 16.40 +14 07 18.8          23.5        568
     ALA32T  *C2022 10 31.54652 03 29 51.40 +14 04 49.8          24.2        568
     ALA32T  *C2022 10 31.55005 03 29 51.15 +14 04 49.7          23.6        568
     ALA32T  *C2022 10 31.55355 03 29 50.96 +14 04 49.9          23.6        568
     ALA32T  *C2022 10 31.55708 03 29 50.77 +14 04 50.0          23.5        568
     ALA32W  *C2022 10 31.55005 03 28 24.44 +14 02 29.3          22.9        568
     ALA32W  *C2022 10 31.55355 03 28 24.22 +14 02 29.2          22.9        568
     ALA32W  *C2022 10 31.55708 03 28 23.97 +14 02 29.2          22.9        568
     ALA32X  *C2022 10 31.55005 03 28 49.09 +14 03 07.8          24.5        568
     ALA32X  *C2022 10 31.55355 03 28 48.87 +14 03 06.8          23.8        568
     ALA32X  *C2022 10 31.55708 03 28 48.69 +14 03 06.1          23.9        568
     ALA33I  *C2022 10 31.55005 03 28 06.36 +14 20 13.1          24.2        568
     ALA33I  *C2022 10 31.55355 03 28 06.15 +14 20 12.3          24.4        568
     ALA33I  *C2022 10 31.55708 03 28 05.97 +14 20 11.7          24.1        568
     ALA34I  *C2022 10 31.55005 03 28 24.24 +14 04 26.2          23.1        568
     ALA34I  *C2022 10 31.55355 03 28 24.13 +14 04 26.0          23.0        568
     ALA34I  *C2022 10 31.55708 03 28 24.03 +14 04 25.7          23.1        568
     ALA35t  *C2022 10 31.55005 03 28 29.88 +13 52 49.7          24.1        568
     ALA35t  *C2022 10 31.55355 03 28 29.72 +13 52 49.1          24.4        568
     ALA35t  *C2022 10 31.55708 03 28 29.50 +13 52 48.0          24.8        568
     ALA38d  *C2022 10 31.54652 03 32 34.55 +14 41 22.3          22.8        568
     ALA3AR  *C2022 10 31.54652 03 32 08.34 +14 42 23.6          23.0        568
     ALA3Ax  *C2022 10 31.55005 03 29 25.57 +14 24 32.7          22.7        568
     ALA3Ax  *C2022 10 31.55355 03 29 25.39 +14 24 31.5          22.7        568
     ALA3Ax  *C2022 10 31.55708 03 29 25.22 +14 24 30.4          22.7        568
     ALA3cy  *C2022 10 31.54652 03 33 42.56 +14 37 48.4          24.2        568
