     AST010   C2017 09 24.74176 21 27 17.68 +14 07 43.3          17.5 Vq     C97
     AST010   C2017 09 24.74335 21 27 17.56 +14 07 43.4          18.1 Vq     C97
     AST010   C2017 09 24.74493 21 27 17.43 +14 07 40.5          20.0 Vq     C97
     AST010   C2018 03 22.70076 08 39 45.14 +10 31 31.8          17.6 Vq     C97
     AST010   C2018 03 22.76671 08 39 45.29 +10 31 39.6          17.4 Vq     C97
     AST010  2S2022 11 08.19825 23 06 27.73 -05 03 04.7          26.0 V      274
     AST010  2S2022 11 08.21415 23 06 28.36 -05 02 58.9          26.0 V      274
     AST010  2S2022 11 08.23005 23 06 28.98 -05 02 53.2          26.0 V      274


     AST007  2S2022 11 08.28063 23 06 34.38 -05 03 42.4          25.0 V      274
     AST007  2S2022 11 08.29268 23 06 34.35 -05 03 39.7          25.0 V      274
     AST007  2S2022 11 08.30448 23 06 34.32 -05 03 36.7          25.0 V      274
     AST010  2S2022 11 08.23005 23 06 28.98 -05 02 53.2          26.0 V      274
     AST011  2S2022 11 08.28666 23 06 31.41 -05 03 12.0          27.0 V      274
     AST012  2S2022 11 12.70368 23 06 29.16 -05 03 21.4          27.2 V      274
     AST012  2S2022 11 12.76150 23 06 30.10 -05 03 24.0          27.2 V      274
     AST012  2S2022 11 12.81931 23 06 31.04 -05 03 26.6          27.2 V      274
     AST013  2S2022 11 12.68273 23 06 29.57 -05 03 29.7          25.9 V      274
     AST013  2S2022 11 12.69863 23 06 30.19 -05 03 24.9          25.9 V      274
     AST013  2S2022 11 12.71452 23 06 30.81 -05 03 20.1          25.9 V      274
     AST014  2S2022 11 12.73091 23 06 31.41 -05 03 53.2          24.6 V      274
     AST014  2S2022 11 12.74680 23 06 31.64 -05 03 52.0          24.6 V      274
     AST014  2S2022 11 12.76270 23 06 31.87 -05 03 51.0          24.6 V      274
     AST015  2S2022 11 12.73091 23 06 29.69 -05 03 51.1          26.4 V      274
     AST015  2S2022 11 12.74680 23 06 30.38 -05 03 47.5          26.4 V      274
     AST015  2S2022 11 12.76270 23 06 31.07 -05 03 43.8          26.4 V      274
     AST016  2S2022 11 12.68273 23 06 32.36 -05 02 56.3          27.9 V      274
