     AST021 * C2017 04 21.69415 12 28 52.89 +01 25 04.6          17.6 Vq     C97
     AST021   C2017 04 21.75756 12 28 51.78 +01 23 46.1          17.7 Vq     C97
     AST021   C2017 10 24.69745 22 47 50.67 +04 14 10.2          17.4 Vq     C97
     AST021   C2017 10 24.75059 22 47 49.94 +04 13 50.1          17.9 Vq     C97
     AST021  2S2022 11 20.27240 23 06 28.47 -05 03 28.3          26.2 V      274
     AST021  2S2022 11 20.28445 23 06 29.46 -05 03 27.6          26.2 V      274
     AST021  2S2022 11 20.29625 23 06 30.42 -05 03 26.9          26.2 V      274


     AST018  2S2022 11 20.31697 23 06 30.24 -05 03 22.9          26.8 V      274
     AST018  2S2022 11 20.37478 23 06 30.85 -05 03 19.6          26.8 V      274
     AST021  2S2022 11 20.29625 23 06 30.42 -05 03 26.9          26.2 V      274
     AST023  2S2022 11 20.29649 23 06 29.00 -05 03 49.2          27.4 V      274
     AST023  2S2022 11 20.30854 23 06 29.47 -05 03 45.9          27.4 V      274
     AST023  2S2022 11 20.32034 23 06 29.94 -05 03 42.8          27.4 V      274
     AST024  2S2022 11 20.30227 23 06 29.25 -05 03 24.4          26.2 V      274
     AST024  2S2022 11 20.31817 23 06 29.85 -05 03 20.5          26.2 V      274
     AST025  2S2022 11 20.32058 23 06 28.56 -05 03 56.8          25.7 V      274
     AST025  2S2022 11 20.33263 23 06 29.39 -05 03 48.1          25.7 V      274
     AST025  2S2022 11 20.34443 23 06 30.22 -05 03 39.7          25.7 V      274
     AST026  2S2022 11 20.33455 23 06 28.26 -05 03 21.3          26.4 V      274
     AST026  2S2022 11 20.35045 23 06 28.66 -05 03 20.9          26.4 V      274
     AST026  2S2022 11 20.36635 23 06 29.06 -05 03 20.5          26.4 V      274
     AST027  2S2022 11 20.35864 23 06 27.56 -05 03 08.3          25.3 V      274
     AST027  2S2022 11 20.37454 23 06 28.12 -05 03 07.2          25.3 V      274
     AST027  2S2022 11 20.39044 23 06 28.68 -05 03 06.1          25.3 V      274
     AST028  2S2022 11 20.36876 23 06 27.92 -05 03 07.6          26.6 V      274
     AST028  2S2022 11 20.38080 23 06 28.34 -05 03 06.7          26.6 V      274
     AST028  2S2022 11 20.39261 23 06 28.75 -05 03 05.9          26.6 V      274
     AST029  2S2022 11 20.37960 23 06 32.68 -05 03 14.5          24.8 V      274
     AST029  2S2022 11 20.38924 23 06 33.36 -05 03 07.6          24.8 V      274
     AST029  2S2022 11 20.39887 23 06 34.03 -05 03 00.8          24.8 V      274
     AST030  2S2022 11 20.37960 23 06 27.69 -05 03 14.0          25.6 V      274
     AST030  2S2022 11 20.38924 23 06 27.97 -05 03 13.7          25.6 V      274
     AST030  2S2022 11 20.39887 23 06 28.25 -05 03 13.5          25.6 V      274
