     AST051   C2017 10 28.68330 00 09 27.48 -02 44 29.1          17.2 Vq     C97
     AST051   C2017 10 28.74379 00 09 26.49 -02 44 07.3          17.4 Vq     C97
     AST051   C2017 11 08.67752 01 02 21.06 -03 28 07.0          17.5 Vq     C97
     AST051   C2017 11 08.74483 01 02 21.88 -03 28 07.8          17.8 Vq     C97
     AST051  2S2022 10 27.59670 23 06 31.29 -05 02 58.1          27.2 V      274
     AST051  2S2022 10 27.61154 23 06 31.09 -05 02 59.9          27.2 V      274
     AST051  2S2022 10 27.62638 23 06 30.90 -05 03 01.8          27.2 V      274


     AST048  2S2022 10 27.65650 23 06 30.75 -05 03 19.7          27.4 V      274
     AST048  2S2022 10 27.70102 23 06 31.18 -05 03 20.8          27.4 V      274
     AST049  2S2022 10 27.62638 23 06 31.92 -05 02 54.3          26.9 V      274
     AST050  2S2022 10 27.62638 23 06 34.95 -05 03 26.4          26.5 V      274
     AST051  2S2022 10 27.62638 23 06 30.90 -05 03 01.8          27.2 V      274
     AST052  2S2022 10 27.62638 23 06 32.62 -05 02 36.7          27.5 V      274
     AST053  2S2022 10 27.62638 23 06 34.52 -05 03 29.8          26.8 V      274
     AST054  2S2022 10 27.62638 23 06 33.32 -05 03 23.2          27.5 V      274
     AST055  2S2022 10 27.62638 23 06 31.10 -05 02 56.9          28.4 V      274
     AST056  2S2022 10 27.64166 23 06 33.37 -05 03 23.5          28.0 V      274
     AST056  2S2022 10 27.65650 23 06 33.42 -05 03 23.7          28.0 V      274
     AST056  2S2022 10 27.67134 23 06 33.46 -05 03 24.0          28.0 V      274
     AST057  2S2022 10 27.68663 23 06 31.37 -05 03 15.3          27.3 V      274
     AST057  2S2022 10 27.70147 23 06 31.44 -05 03 20.2          27.3 V      274
     AST057  2S2022 10 27.71608 23 06 31.52 -05 03 24.7          27.3 V      274
     AST058  2S2022 10 27.68663 23 06 35.02 -05 02 56.4          27.6 V      274
     AST058  2S2022 10 27.70147 23 06 34.78 -05 02 57.4          27.6 V      274
     AST058  2S2022 10 27.71608 23 06 34.54 -05 02 58.5          27.6 V      274
     AST059  2S2022 10 27.62638 23 06 30.88 -05 02 41.6          27.8 V      274
     AST060  2S2022 10 27.62638 23 06 34.91 -05 03 06.1          27.4 V      274
     AST061  2S2022 10 27.70529 23 06 30.08 -05 02 47.1          26.5 V      274
     AST061  2S2022 10 27.71249 23 06 30.21 -05 02 47.4          26.5 V      274
     AST061  2S2022 10 27.71968 23 06 30.33 -05 02 47.7          26.5 V      274
     AST062  2S2022 10 30.02857 23 06 34.65 -05 02 42.1          26.4 V      274
     AST062  2S2022 10 30.07309 23 06 34.36 -05 02 45.2          26.4 V      274
     AST062  2S2022 10 30.11761 23 06 34.06 -05 02 48.3          26.4 V      274
     AST063  2S2022 10 30.01374 23 06 29.89 -05 03 11.7          20.1 V      274
     AST063  2S2022 10 30.02857 23 06 29.79 -05 03 10.9          20.1 V      274
     AST063  2S2022 10 30.04341 23 06 29.70 -05 03 10.2          20.1 V      274
     AST064  2S2022 10 30.01374 23 06 29.15 -05 03 17.7          27.8 V      274
     AST064  2S2022 10 30.02857 23 06 29.48 -05 03 15.0          27.8 V      274
     AST064  2S2022 10 30.04341 23 06 29.81 -05 03 12.2          27.8 V      274
     AST065  2S2022 10 30.01374 23 06 32.39 -05 03 00.9          26.0 V      274
     AST065  2S2022 10 30.02857 23 06 32.65 -05 02 55.6          26.0 V      274
     AST065  2S2022 10 30.04341 23 06 32.92 -05 02 50.3          26.0 V      274
     AST066  2S2022 10 30.01374 23 06 33.49 -05 02 59.2          27.8 V      274
     AST066  2S2022 10 30.02857 23 06 33.41 -05 02 59.9          27.8 V      274
     AST066  2S2022 10 30.04341 23 06 33.33 -05 03 00.2          27.8 V      274
     AST067  2S2022 10 30.10367 23 06 32.00 -05 03 50.9          28.1 V      274
     AST067  2S2022 10 30.11828 23 06 32.21 -05 03 46.5          28.1 V      274
     AST067  2S2022 10 30.13267 23 06 32.40 -05 03 42.3          28.1 V      274
     AST068  2S2022 10 30.01374 23 06 33.98 -05 02 43.0          26.9 V      274
     AST068  2S2022 10 30.02857 23 06 34.31 -05 02 44.4          26.9 V      274
     AST068  2S2022 10 30.04341 23 06 34.63 -05 02 45.8          26.9 V      274
     AST069  2S2022 10 30.12233 23 06 34.03 -05 02 48.8          27.8 V      274
     AST069  2S2022 10 30.12953 23 06 33.99 -05 02 49.1          27.8 V      274
     AST069  2S2022 10 30.13649 23 06 33.94 -05 02 49.6          27.8 V      274
     AST048  2S2022 10 27.65650 23 06 30.75 -05 03 19.7          27.4 V      274
     AST048  2S2022 10 27.70102 23 06 31.18 -05 03 20.8          27.4 V      274
     AST056  2S2022 10 27.64166 23 06 33.37 -05 03 23.5          28.0 V      274
     AST056  2S2022 10 27.65650 23 06 33.42 -05 03 23.7          28.0 V      274
     AST056  2S2022 10 27.67134 23 06 33.46 -05 03 24.0          28.0 V      274
     AST057  2S2022 10 27.68663 23 06 31.37 -05 03 15.3          27.3 V      274
     AST057  2S2022 10 27.70147 23 06 31.44 -05 03 20.2          27.3 V      274
     AST057  2S2022 10 27.71608 23 06 31.52 -05 03 24.7          27.3 V      274
     AST058  2S2022 10 27.68663 23 06 35.02 -05 02 56.4          27.6 V      274
     AST058  2S2022 10 27.70147 23 06 34.78 -05 02 57.4          27.6 V      274
     AST058  2S2022 10 27.71608 23 06 34.54 -05 02 58.5          27.6 V      274
     AST061  2S2022 10 27.70529 23 06 30.08 -05 02 47.1          26.5 V      274
     AST061  2S2022 10 27.71249 23 06 30.21 -05 02 47.4          26.5 V      274
     AST061  2S2022 10 27.71968 23 06 30.33 -05 02 47.7          26.5 V      274
     AST062  2S2022 10 30.02857 23 06 34.65 -05 02 42.1          26.4 V      274
     AST062  2S2022 10 30.07309 23 06 34.36 -05 02 45.2          26.4 V      274
     AST062  2S2022 10 30.11761 23 06 34.06 -05 02 48.3          26.4 V      274
     AST063  2S2022 10 30.01374 23 06 29.89 -05 03 11.7          20.1 V      274
     AST063  2S2022 10 30.02857 23 06 29.79 -05 03 10.9          20.1 V      274
     AST063  2S2022 10 30.04341 23 06 29.70 -05 03 10.2          20.1 V      274
