     d129007* C2012 09 15.99036 01 53 10.45 +04 33 40.5                t     G36
     d129007  C2012 09 16.04132 01 53 09.45 +04 33 28.7                t     G36
     d129007  C2012 09 16.08983 01 53 08.48 +04 33 17.2                t     G36
     d129007  C2012 09 16.11386 01 53 08.01 +04 33 11.8                t     G36
     d129007  C2012 09 16.13795 01 53 07.51 +04 33 06.3                t     G36
     d129007  C2012 09 16.99670 01 52 51.31 +04 29 45.1                t     G36
     d129007  C2012 09 17.05854 01 52 49.96 +04 29 30.3                t     G36
     d129007  C2012 09 17.11697 01 52 48.70 +04 29 16.3                t     G36


     d129005  C2012 09 17.14057 01 53 34.30 +04 36 27.0                t     G36
     d129005  C2012 09 17.17616 01 53 33.42 +04 36 19.7                t     G36
     d129005  C2012 09 17.18412 01 53 33.11 +04 36 18.0                t     G36
     d129007  C2012 09 17.11697 01 52 48.70 +04 29 16.3                t     G36
     d129029* C2012 09 20.10963 01 52 47.13 +04 27 02.8          21.6 Rt     G36
     d129029  C2012 09 20.12959 01 52 46.44 +04 27 00.1          21.5 Rt     G36
     d129029  C2012 09 20.14953 01 52 45.67 +04 26 56.9          21.3 Rt     G36
     d129029  C2012 09 20.17217 01 52 44.93 +04 26 53.2          21.4 Rt     G36
     d129029  C2012 09 21.95687 01 51 41.63 +04 22 05.8          21.3 Rt     G36
     d129029  C2012 09 22.11030 01 51 35.70 +04 21 40.7          22.0 Rt     G36
     d129029  C2012 09 22.15100 01 51 34.19 +04 21 33.6          22.2 Rt     G36
     d129029  C2012 09 22.20670 01 51 32.02 +04 21 24.3          21.8 Rt     G36
     DLR0025  C2012 09 17.11697 01 52 50.71 +04 35 23.5          21.6 Vu     G36
     DLR0025  C2012 09 17.16819 01 52 48.92 +04 35 25.4          21.5 Vu     G36
     DLR0025  C2012 09 17.17616 01 52 48.67 +04 35 25.6          21.2 Vu     G36
     DLR0027  C2012 09 17.11697 01 53 46.83 +04 27 49.5          20.6 Vu     G36
     DLR0027  C2012 09 17.14057 01 53 45.41 +04 28 03.3          20.6 Vu     G36
     DLR0027  C2012 09 17.17616 01 53 43.30 +04 28 23.8          20.4 Vu     G36
     DLR0027  C2012 09 17.20003 01 53 41.88 +04 28 37.7          20.6 Vu     G36
     DLR0058* C2012 09 22.01708 01 51 12.38 +04 18 03.8          22.5 Vu     G36
     DLR0058  C2012 09 22.11030 01 51 09.24 +04 17 41.8          23.4 Vu     G36
     DLR0058  C2012 09 22.13489 01 51 08.37 +04 17 35.9          23.1 Vu     G36
     DLR0058  C2012 09 22.15100 01 51 07.82 +04 17 32.2          23.1 Vu     G36
     d129029* C2012 09 20.10963 01 52 47.13 +04 27 02.8          21.6 Rt     G36
     d129029  C2012 09 20.12959 01 52 46.44 +04 27 00.1          21.5 Rt     G36
     d129029  C2012 09 20.14953 01 52 45.67 +04 26 56.9          21.3 Rt     G36
     d129029  C2012 09 20.17217 01 52 44.93 +04 26 53.2          21.4 Rt     G36
     d129029  C2012 09 21.95687 01 51 41.63 +04 22 05.8          21.3 Rt     G36
     d129029  C2012 09 22.11030 01 51 35.70 +04 21 40.7          22.0 Rt     G36
     d129029  C2012 09 22.15100 01 51 34.19 +04 21 33.6          22.2 Rt     G36
     d129029  C2012 09 22.20670 01 51 32.02 +04 21 24.3          21.8 Rt     G36
     d129029* C2012 09 20.10963 01 52 47.13 +04 27 02.8          21.6 Rt     G36
     d129029  C2012 09 20.12959 01 52 46.44 +04 27 00.1          21.5 Rt     G36
     d129029  C2012 09 20.14953 01 52 45.67 +04 26 56.9          21.3 Rt     G36
     d129029  C2012 09 20.17217 01 52 44.93 +04 26 53.2          21.4 Rt     G36
     d129029  C2012 09 21.95687 01 51 41.63 +04 22 05.8          21.3 Rt     G36
     d129029  C2012 09 22.11030 01 51 35.70 +04 21 40.7          22.0 Rt     G36
     d129029  C2012 09 22.15100 01 51 34.19 +04 21 33.6          22.2 Rt     G36
     d129029  C2012 09 22.20670 01 51 32.02 +04 21 24.3          21.8 Rt     G36
     DLR0058* C2012 09 22.01708 01 51 12.38 +04 18 03.8          22.5 Vu     G36
     DLR0058  C2012 09 22.11030 01 51 09.24 +04 17 41.8          23.4 Vu     G36
     DLR0058  C2012 09 22.13489 01 51 08.37 +04 17 35.9          23.1 Vu     G36
     DLR0058  C2012 09 22.15100 01 51 07.82 +04 17 32.2          23.1 Vu     G36
