     d143004* C2014 03 06.89069 10 29 27.73 +10 55 04.5                t     G36
     d143004  C2014 03 06.95769 10 29 25.79 +10 55 18.1                t     G36
     d143004  C2014 03 06.99784 10 29 24.70 +10 55 26.0                t     G36
     d143004  C2014 03 07.04172 10 29 23.42 +10 55 35.5                t     G36
     d143004  C2014 03 08.90518 10 28 31.70 +11 01 51.3          21.6 Rt     G36
     d143004  C2014 03 08.94063 10 28 30.71 +11 01 58.6          21.8 Rt     G36
     d143004  C2014 03 09.04395 10 28 27.78 +11 02 19.2          21.9 Rt     G36
     d143004  C2014 03 09.08654 10 28 26.60 +11 02 28.0          22.2 Rt     G36
     d143004  C2014 03 09.11700 10 28 25.74 +11 02 33.2          21.5 Rt     G36


     d143004  C2014 03 09.11700 10 28 25.74 +11 02 33.2          21.5 Rt     G36
     d143069  C2014 03 09.11700 10 28 27.59 +10 46 10.8          21.6 Rt     G36
     d143070  C2014 03 09.11700 10 28 41.88 +10 45 53.5                t     G36
