     d14C018* C2014 12 19.83810 04 38 30.63 +24 38 50.1                t     G36
     d14C018  C2014 12 20.01084 04 38 21.44 +24 38 35.0                t     G36
     d14C018  C2014 12 20.03949 04 38 19.89 +24 38 32.0                t     G36
     d14C018  C2014 12 20.78498 04 37 42.18 +24 37 23.4                t     G36
     d14C018  C2014 12 20.82614 04 37 40.05 +24 37 19.9                t     G36
     d14C018  C2014 12 20.84881 04 37 38.86 +24 37 17.7                t     G36
     d14C018  C2014 12 20.92982 04 37 34.62 +24 37 10.6                t     G36
     d14C018  C2014 12 21.01077 04 37 30.42 +24 37 03.2                t     G36


     d14C018  C2014 12 21.01077 04 37 30.42 +24 37 03.2                t     G36
     d14C046  C2014 12 21.03772 04 38 14.95 +24 38 13.7                t     G36
     d14C046  C2014 12 21.07312 04 38 13.03 +24 38 12.1                t     G36
     d14C052  C2014 12 21.01077 04 38 23.21 +24 28 58.9          21.8 Rt     G36
     d14C052  C2014 12 21.03772 04 38 21.82 +24 28 56.1          22.1 Rt     G36
     d14C052  C2014 12 21.07312 04 38 19.99 +24 28 51.7          21.8 Rt     G36
     d14C052  C2014 12 21.10034 04 38 18.59 +24 28 48.3          21.9 Rt     G36
     d14C052  C2014 12 21.12744 04 38 17.20 +24 28 45.1          22.2 Rt     G36
     VY26C8F* C2014 12 21.38989 04 33 33.74 +24 33 58.8          19.7 Vq     703
     VY26C8F  C2014 12 21.40470 04 33 32.69 +24 33 51.9          19.3 Vq     703
     VY26C8F* C2014 12 21.38989 04 33 33.74 +24 33 58.8          19.7 Vq     703
     VY26C8F  C2014 12 21.40470 04 33 32.69 +24 33 51.9          19.3 Vq     703
     VY26C8F* C2014 12 21.38989 04 33 33.74 +24 33 58.8          19.7 Vq     703
     VY26C8F  C2014 12 21.40470 04 33 32.69 +24 33 51.9          19.3 Vq     703
