     d14C043* C2014 12 20.85282 05 13 27.32 +10 38 23.6          21.7 Rt     G36
     d14C043  C2014 12 20.93382 05 13 22.49 +10 37 45.5          21.4 Rt     G36
     d14C043  C2014 12 20.96085 05 13 20.90 +10 37 32.3          21.8 Rt     G36
     d14C043  C2014 12 20.98782 05 13 19.30 +10 37 19.5          21.9 Rt     G36
     d14C043  C2014 12 21.01478 05 13 17.70 +10 37 06.7          21.7 Rt     G36
     d14C043  C2014 12 21.07712 05 13 13.96 +10 36 36.6          22.0 Rt     G36
     d14C043  C2014 12 21.10432 05 13 12.45 +10 36 23.9          21.1 Rt     G36
     d14C043  C2014 12 21.86983 05 12 28.98 +10 30 22.2                t     G36
     d14C043  C2014 12 21.98636 05 12 22.03 +10 29 30.1                t     G36
     d14C043  C2014 12 22.01538 05 12 20.32 +10 29 16.2                t     G36
     d14C043  C2014 12 22.04429 05 12 18.62 +10 29 02.5                t     G36
     d14C043  C2014 12 22.06916 05 12 17.15 +10 28 51.1                t     G36


     d14C043  C2014 12 22.06916 05 12 17.15 +10 28 51.1                t     G36
