     d17B067* C2017 11 21.90389 02 20 39.99 +11 57 30.1                V     G36
     d17B067  C2017 11 21.92030 02 20 39.33 +11 57 25.1                V     G36
     d17B067  C2017 11 21.95296 02 20 37.97 +11 57 14.6                V     G36
     d17B067  C2017 11 21.96914 02 20 37.26 +11 57 10.0                V     G36
     d17B067  C2017 11 22.00162 02 20 35.87 +11 57 00.0                V     G36
     d17B067  C2017 11 22.03411 02 20 34.62 +11 56 50.1                V     G36
     d17B067  C2017 11 22.05110 02 20 33.77 +11 56 45.5                V     G36
     d17B067  C2017 11 22.07729 02 20 32.91 +11 56 36.5                V     G36
     d17B067  C2017 11 22.81779 02 20 04.44 +11 52 53.1          21.5 R      G36
     d17B067  C2017 11 22.87860 02 20 02.01 +11 52 35.1          21.1 R      G36
     d17B067  C2017 11 22.89088 02 20 01.53 +11 52 31.6          21.7 R      G36
     d17B067  C2017 11 22.92735 02 20 00.07 +11 52 20.8          21.4 R      G36
     d17B067  C2017 11 22.95197 02 19 59.07 +11 52 13.4          21.4 R      G36
     d17B067  C2017 11 22.97631 02 19 58.09 +11 52 06.7          21.8 R      G36
     d17B067  C2017 11 23.01283 02 19 56.62 +11 51 55.4          21.8 R      G36


     d17B067  C2017 11 23.01283 02 19 56.62 +11 51 55.4          21.8 R      G36
     d17B101  C2017 11 23.01283 02 20 16.01 +11 45 51.9          20.9 R      G36
     d17B101  C2017 11 23.02490 02 20 15.47 +11 45 53.5          21.5 R      G36
     d17B101  C2017 11 23.04291 02 20 14.64 +11 45 56.5          21.2 R      G36
