     d17B087* C2017 11 21.79458 03 30 20.82 +20 29 32.5          21.7 R      G36
     d17B087  C2017 11 21.81089 03 30 20.13 +20 29 28.4          21.6 R      G36
     d17B087  C2017 11 21.82706 03 30 19.42 +20 29 24.7          22.1 R      G36
     d17B087  C2017 11 21.84339 03 30 18.70 +20 29 20.5          21.8 R      G36
     d17B087  C2017 11 21.85955 03 30 17.95 +20 29 16.4          22.2 R      G36
     d17B087  C2017 11 21.87594 03 30 17.21 +20 29 12.6          21.7 R      G36
     d17B087  C2017 11 21.89209 03 30 16.50 +20 29 08.7          22.1 R      G36
     d17B087  C2017 11 21.94114 03 30 14.31 +20 28 56.1          21.8 R      G36
     d17B087  C2017 11 21.95734 03 30 13.56 +20 28 52.4          22.2 R      G36
     d17B087  C2017 11 22.00620 03 30 11.40 +20 28 39.7          22.4 R      G36
     d17B087  C2017 11 22.03871 03 30 09.93 +20 28 31.8          22.1 R      G36
     d17B087  C2017 11 22.08186 03 30 07.97 +20 28 20.6          21.8 R      G36
     d17B087  C2017 11 22.83441 03 29 35.51 +20 25 10.5                R     G36
     d17B087  C2017 11 22.85880 03 29 34.42 +20 25 04.4                R     G36
     d17B087  C2017 11 22.91964 03 29 31.71 +20 24 48.6                R     G36
     d17B087  C2017 11 22.94425 03 29 30.62 +20 24 42.7                R     G36
     d17B087  C2017 11 22.96855 03 29 29.50 +20 24 36.6                R     G36
     d17B087  C2017 11 23.00512 03 29 27.88 +20 24 27.5                R     G36
     d17B087  C2017 11 23.04727 03 29 26.00 +20 24 17.0                R     G36


     d17B087  C2017 11 23.04727 03 29 26.00 +20 24 17.0                R     G36
     d17B103  C2017 11 23.04727 03 29 56.54 +20 25 54.9                R     G36
     d17B118  C2017 11 24.89545 03 26 58.79 +20 08 57.8                R     G36
     d17B118  C2017 11 24.90702 03 26 58.24 +20 08 53.7                R     G36
     d17B118  C2017 11 24.93045 03 26 57.04 +20 08 45.7                R     G36
     d17B118  C2017 11 24.94230 03 26 56.48 +20 08 41.3                R     G36
     d17B118  C2017 11 24.95384 03 26 55.87 +20 08 37.6                R     G36
     d17B118  C2017 11 24.96566 03 26 55.29 +20 08 33.3                R     G36
     d17B118  C2017 11 24.97726 03 26 54.65 +20 08 29.4                R     G36
     d17B118  C2017 11 24.98909 03 26 54.12 +20 08 24.8                R     G36
     d17B118  C2017 11 25.00069 03 26 53.53 +20 08 21.5                R     G36
     d17B118  C2017 11 25.01249 03 26 52.98 +20 08 16.3                R     G36
     d17B121  C2017 11 24.89545 03 27 01.41 +19 58 59.3          21.5 R      G36
     d17B121  C2017 11 24.90702 03 27 00.72 +19 58 56.9          21.7 R      G36
     d17B121  C2017 11 24.91887 03 27 00.03 +19 58 55.1          21.8 R      G36
     d17B121  C2017 11 24.93045 03 26 59.30 +19 58 53.4          21.4 R      G36
     d17B121  C2017 11 24.94230 03 26 58.60 +19 58 51.5          21.4 R      G36
     d17B121  C2017 11 24.95384 03 26 57.93 +19 58 49.7          21.7 R      G36
     d17B121  C2017 11 24.98909 03 26 55.80 +19 58 44.4          21.4 R      G36
     d17B121  C2017 11 25.01249 03 26 54.36 +19 58 40.5          21.9 R      G36
     d17B121  C2017 11 25.02408 03 26 53.66 +19 58 38.9          21.7 R      G36
     d17B121  C2017 11 25.03588 03 26 52.98 +19 58 36.8          21.3 R      G36
     d17B118* C2017 11 24.80184 03 27 03.44 +20 09 30.6                R     G36
     d17B118  C2017 11 24.83687 03 27 01.72 +20 09 18.5                R     G36
     d17B118  C2017 11 24.86024 03 27 00.58 +20 09 10.4                R     G36
     d17B118  C2017 11 24.89545 03 26 58.79 +20 08 57.8                R     G36
     d17B118  C2017 11 24.90702 03 26 58.24 +20 08 53.7                R     G36
     d17B118  C2017 11 24.93045 03 26 57.04 +20 08 45.7                R     G36
     d17B118  C2017 11 24.94230 03 26 56.48 +20 08 41.3                R     G36
     d17B118  C2017 11 24.95384 03 26 55.87 +20 08 37.6                R     G36
     d17B118  C2017 11 24.96566 03 26 55.29 +20 08 33.3                R     G36
     d17B118  C2017 11 24.97726 03 26 54.65 +20 08 29.4                R     G36
     d17B118  C2017 11 24.98909 03 26 54.12 +20 08 24.8                R     G36
     d17B118  C2017 11 25.00069 03 26 53.53 +20 08 21.5                R     G36
     d17B118  C2017 11 25.01249 03 26 52.98 +20 08 16.3                R     G36
     d17B118* C2017 11 24.80184 03 27 03.44 +20 09 30.6                R     G36
     d17B118  C2017 11 24.83687 03 27 01.72 +20 09 18.5                R     G36
     d17B118  C2017 11 24.86024 03 27 00.58 +20 09 10.4                R     G36
     d17B118  C2017 11 24.89545 03 26 58.79 +20 08 57.8                R     G36
     d17B118  C2017 11 24.90702 03 26 58.24 +20 08 53.7                R     G36
     d17B118  C2017 11 24.93045 03 26 57.04 +20 08 45.7                R     G36
     d17B118  C2017 11 24.94230 03 26 56.48 +20 08 41.3                R     G36
     d17B118  C2017 11 24.95384 03 26 55.87 +20 08 37.6                R     G36
     d17B118  C2017 11 24.96566 03 26 55.29 +20 08 33.3                R     G36
     d17B118  C2017 11 24.97726 03 26 54.65 +20 08 29.4                R     G36
     d17B118  C2017 11 24.98909 03 26 54.12 +20 08 24.8                R     G36
     d17B118  C2017 11 25.00069 03 26 53.53 +20 08 21.5                R     G36
     d17B118  C2017 11 25.01249 03 26 52.98 +20 08 16.3                R     G36
