     d192017* C2019 02 07.89411 10 36 07.93 +08 16 04.2                V     G36
     d192017  C2019 02 07.94169 10 36 05.81 +08 16 16.1                V     G36
     d192017  C2019 02 07.98197 10 36 04.03 +08 16 25.4                V     G36
     d192017  C2019 02 08.03321 10 36 01.79 +08 16 37.6                V     G36
     d192017  C2019 02 08.06988 10 36 00.16 +08 16 46.2                V     G36
     d192017  C2019 02 08.11739 10 35 58.09 +08 16 56.5                V     G36
     d192017  C2019 02 08.16127 10 35 56.02 +08 17 07.5                V     G36
     d192017  C2019 02 08.20511 10 35 54.16 +08 17 18.8                V     G36
     d192017  C2019 02 09.96411 10 34 37.75 +08 24 20.7                V     G36
     d192017  C2019 02 10.06292 10 34 33.26 +08 24 44.7                V     G36
     d192017  C2019 02 10.10679 10 34 31.26 +08 24 54.9                V     G36
     d192017  C2019 02 10.14705 10 34 29.31 +08 25 05.0                V     G36


     d192017  C2019 02 10.14705 10 34 29.31 +08 25 05.0                V     G36
     d192023  C2019 02 10.20198 10 33 55.84 +08 20 26.0          21.4 RV     G36
     d192023  C2019 02 10.22026 10 33 55.14 +08 20 35.7          21.4 RV     G36
