     d193004* C2019 03 01.94563 10 24 50.82 +09 19 50.8          21.8 RV     G36
     d193004  C2019 03 02.06744 10 24 44.87 +09 20 56.5          21.6 RV     G36
     d193004  C2019 03 02.10079 10 24 43.22 +09 21 15.2          21.3 RV     G36
     d193004  C2019 03 02.14914 10 24 40.92 +09 21 41.1          22.0 RV     G36
     d193004  C2019 03 02.81770 10 24 10.89 +09 27 44.0          21.9 RV     G36
     d193004  C2019 03 02.98967 10 24 02.69 +09 29 18.7          21.7 RV     G36
     d193004  C2019 03 03.15421 10 23 54.73 +09 30 48.4          21.4 RV     G36
     d193004  C2019 03 03.82157 10 23 25.18 +09 36 47.9          21.3 RV     G36
     d193004  C2019 03 03.97162 10 23 18.10 +09 38 09.4          21.3 RV     G36
     d193004  C2019 03 04.12048 10 23 11.04 +09 39 28.8          21.6 RV     G36


     d193004  C2019 03 04.12048 10 23 11.04 +09 39 28.8          21.6 RV     G36
     d193008  C2019 03 04.12048 10 23 19.59 +09 43 47.1                V     G36
     d193014  C2019 03 04.82974 10 22 36.03 +09 27 57.0          21.6 RV     G36
     d193014  C2019 03 04.96882 10 22 29.84 +09 28 53.4          21.5 RV     G36
     d193014  C2019 03 05.05657 10 22 25.86 +09 29 30.9          22.1 RV     G36
     d193023  C2019 03 04.12048 10 22 53.11 +09 24 42.8                V     G36
     d193030* C2019 03 04.81839 10 23 48.63 +09 41 46.9                V     G36
     d193030  C2019 03 04.87007 10 23 46.18 +09 41 54.4                V     G36
     d193030  C2019 03 04.91395 10 23 44.00 +09 42 01.4                V     G36
     d193030  C2019 03 04.93224 10 23 43.08 +09 42 04.0                V     G36
     d193030  C2019 03 04.99440 10 23 40.20 +09 42 13.2                V     G36
     d193030  C2019 03 05.03829 10 23 38.01 +09 42 20.6                V     G36
     d193030  C2019 03 05.14795 10 23 32.91 +09 42 38.2                V     G36
