     H296218 4C2017 02 01.49516 09 25 21.00 +00 29 22.8          21.3 i1     T09
     H296218 4C2017 02 01.50344 09 25 20.53 +00 29 24.5          21.5 i1     T09
     H296218 4C2017 02 01.53643 09 25 18.69 +00 29 31.5          21.3 i1     T09
     H296218 4C2017 02 01.54461 09 25 18.23 +00 29 33.2          21.4 i1     T09
     H296218 4C2017 02 01.55276 09 25 17.78 +00 29 34.9          21.4 i1     T09
     H296218*4C2017 08 18.33263 22 22 55.03 +05 18 52.2          24.5 g1     T09
     H296218 4C2017 08 18.35641 22 22 53.50 +05 18 56.7          24.0 g1     T09
     H296218 4C2017 08 18.36479 22 22 52.94 +05 18 58.6          24.1 g1     T09
     H296218 4C2017 08 19.35207 22 21 48.91 +05 22 08.1          23.4 r1     T09
     H296218 4C2017 08 19.37390 22 21 47.45 +05 22 12.2          23.4 r1     T09
     H296218 4C2017 08 19.37599 22 21 47.32 +05 22 12.7          23.2 r1     T09
     H296218 4C2017 08 19.38443 22 21 46.76 +05 22 14.2          23.7 r1     T09


     H294952 4C2017 08 19.38443 22 22 25.50 +05 22 32.7          23.0 r1     T09
     H296218 4C2017 08 19.38443 22 21 46.76 +05 22 14.2          23.7 r1     T09
     H296470 4C2017 08 19.38443 22 21 36.98 +05 12 26.6          23.8 r1     T09
     H296471 4C2017 08 19.38443 22 21 52.38 +05 21 17.3          23.7 r1     T09
     H301273 4C2017 08 19.38443 22 21 02.37 +05 11 16.9          24.1 r1     T09
     P10CJby  C2017 08 23.47570 22 19 55.965+05 26 45.87         22.0 wL     F51
     P10CJby  C2017 08 23.48767 22 19 54.768+05 26 52.67         21.9 wL     F51
     P10CJby  C2017 08 23.49959 22 19 53.596+05 26 59.74         22.0 wL     F51
     P10CJyb  C2017 08 23.47505 22 18 51.627+05 24 28.21         22.1 wL     F51
     P10CJyb  C2017 08 23.48703 22 18 51.101+05 24 24.29         22.1 wL     F51
     P10CJyb  C2017 08 23.49895 22 18 50.599+05 24 20.08         21.9 wL     F51
     P10CJby  C2017 08 23.47570 22 19 55.965+05 26 45.87         22.0 wL     F51
     P10CJby  C2017 08 23.48767 22 19 54.768+05 26 52.67         21.9 wL     F51
     P10CJby  C2017 08 23.49959 22 19 53.596+05 26 59.74         22.0 wL     F51
     P10CJkT  C2017 08 23.47570 22 18 12.436+05 37 49.27         21.9 wL     F51
     P10CJkT  C2017 08 23.48767 22 18 11.981+05 37 43.45         21.9 wL     F51
     P10CJkT  C2017 08 23.49959 22 18 11.518+05 37 37.87         22.1 wL     F51
     P10CJkT  C2017 08 23.51158 22 18 11.042+05 37 31.77         22.0 wL     F51
     P10CJtX  C2017 08 23.47505 22 18 27.706+05 36 48.44         21.9 wL     F51
     P10CJtX  C2017 08 23.48703 22 18 27.165+05 36 45.10         22.1 wL     F51
     P10CJtX  C2017 08 23.49895 22 18 26.612+05 36 42.47         22.1 wL     F51
     P10CJtX  C2017 08 23.51093 22 18 26.035+05 36 39.67         21.9 wL     F51
     P10CJzI  C2017 08 23.47570 22 18 27.673+05 36 48.04         22.1 wL     F51
     P10CJzI  C2017 08 23.49959 22 18 26.576+05 36 42.34         22.1 wL     F51
     P10CJzI  C2017 08 23.51158 22 18 25.989+05 36 39.65         22.1 wL     F51
