     JAM056 * C2018 08 10.24355 22 40 15.32 -08 07 04.2          22.5 Ru     W93
     JAM056   C2018 08 10.25215 22 40 14.96 -08 07 07.2          23.1 Ru     W93
     JAM056   C2018 08 10.27575 22 40 14.03 -08 07 15.4          23.1 Ru     W93
     JAM056   C2018 08 10.28476 22 40 13.66 -08 07 16.6          23.0 Ru     W93
     JAM056   C2018 08 12.23782 22 38 56.68 -08 17 54.2          23.1 Ru     W93
     JAM056   C2018 08 12.30682 22 38 53.76 -08 18 17.5          23.2 Ru     W93
     JAM056   C2018 08 12.37587 22 38 50.86 -08 18 40.0          22.6 Ru     W93
     JAM056   C2018 08 14.23171 22 37 34.53 -08 29 06.8          22.2 Ru     W93
     JAM056   C2018 08 14.25949 22 37 33.31 -08 29 16.7          22.6 Ru     W93
     JAM056   C2018 08 14.31830 22 37 30.75 -08 29 36.3          22.1 Ru     W93


     JAM056   C2018 08 14.31830 22 37 30.75 -08 29 36.3          22.1 Ru     W93
     P10JboD  C2018 08 17.40001 22 33 54.201-08 44 12.92         21.0 wU     F51
     P10JboD  C2018 08 17.42204 22 33 53.106-08 44 12.86         21.1 wU     F51
     P10JboD  C2018 08 17.43346 22 33 52.518-08 44 12.90         21.1 wU     F51
     JAM065   C2018 08 14.32052 22 35 56.94 -08 47 35.6          22.7 Ru     W93
     JAM065   C2018 08 14.32052 22 35 56.94 -08 47 35.6          22.7 Ru     W93
