     P10hzRu &C2014 12 29.21449107 47 36.41 +21 47 31.1                V     W84
     P10hzRu &C2014 12 29.21530107 47 36.34 +21 47 30.9                V     W84
     P10hzRu &C2015 01 10.24488407 34 48.70 +20 57 34.5                V     W84
     P10hzRu &C2015 01 10.24628507 34 48.58 +20 57 34.1                V     W84
     P10hzRu* C2015 01 16.33354 07 28 01.542+20 31 14.01         20.8 wL     F51
     P10hzRu  C2015 01 16.34575 07 28 00.691+20 31 10.75         21.1 wL     F51
     P10hzRu  C2015 01 16.35794 07 27 59.857+20 31 07.78         21.2 wL     F51
     P10hzRu  C2015 01 16.37018 07 27 59.019+20 31 04.73         21.4 wL     F51


     P10hA9s  C2015 01 16.37018 07 28 42.862+20 26 44.12         22.1 wL     F51
     P10hABu  C2015 01 16.37018 07 26 50.390+20 26 12.96         21.9 wL     F51
     P10hACo  C2015 01 16.37018 07 22 36.874+20 19 04.16         22.2 wL     F51
     P10hAKf  C2015 01 16.37018 07 28 51.450+20 36 18.03         22.0 wL     F51
     P10hzEt  C2015 01 16.37018 07 27 35.986+20 44 38.97         21.6 wL     F51
     P10hzRu  C2015 01 16.37018 07 27 59.019+20 31 04.73         21.4 wL     F51
     P10hzWQ  C2015 01 16.37018 07 29 07.130+20 29 08.89         21.3 wL     F51
