     P10hzVK &C2014 12 29.20897007 44 34.46 +18 05 57.2                V     W84
     P10hzVK &C2014 12 29.21010407 44 34.41 +18 05 57.9                V     W84
     P10hzVK &C2015 01 10.23968807 34 05.76 +20 05 00.9                V     W84
     P10hzVK &C2015 01 10.24108807 34 05.67 +20 05 01.7                V     W84
     P10hzVK* C2015 01 16.33354 07 28 27.754+21 06 12.93         21.4 wL     F51
     P10hzVK  C2015 01 16.34575 07 28 27.062+21 06 20.45         21.6 wL     F51
     P10hzVK  C2015 01 16.35794 07 28 26.340+21 06 27.76         21.6 wL     F51
     P10hzVK  C2015 01 16.37018 07 28 25.641+21 06 35.07         21.7 wL     F51


     P10hACU  C2015 01 16.37085 07 22 30.876+21 48 39.13         21.4 wL     F51
     P10hADl  C2015 01 16.37085 07 23 39.087+21 56 52.56         21.5 wL     F51
     P10hzVK  C2015 01 16.37018 07 28 25.641+21 06 35.07         21.7 wL     F51
     P10hzvV  C2015 01 16.37018 07 29 06.798+20 54 32.13         21.3 wL     F51
     P10hADl  C2015 01 16.37085 07 23 39.087+21 56 52.56         21.5 wL     F51
     P10hADl  C2015 01 16.37085 07 23 39.087+21 56 52.56         21.5 wL     F51
