     P10hzvt &C2014 12 28.26932308 19 12.94 +24 16 04.6                V     W84
     P10hzvt &C2014 12 28.27511608 19 12.38 +24 15 59.2                V     W84
     P10hzvt &C2014 12 29.25466408 17 42.77 +24 00 59.4                V     W84
     P10hzvt &C2014 12 29.25585108 17 42.67 +24 00 58.3                V     W84
     P10hzvt &C2015 01 10.26201407 56 50.53 +20 42 52.7                V     W84
     P10hzvt &C2015 01 10.26344907 56 50.38 +20 42 51.2                V     W84
     P10hzvt* C2015 01 16.33689 07 45 26.348+18 55 29.55         20.9 wL     F51
     P10hzvt  C2015 01 16.34907 07 45 24.933+18 55 16.69         20.9 wL     F51
     P10hzvt  C2015 01 16.36128 07 45 23.509+18 55 03.65         20.8 wL     F51
     P10hzvt  C2015 01 16.37357 07 45 22.086+18 54 50.62         20.9 wL     F51


     P10hAgy  C2015 01 16.37357 07 45 38.889+18 56 55.81         21.8 wL     F51
     P10hzvt  C2015 01 16.37357 07 45 22.086+18 54 50.62         20.9 wL     F51
     G00516 *'C2015 01 23.12678 07 39 30.67 +18 04 10.1          22.3 Rt     309
     G00516  'C2015 01 23.12799 07 39 30.59 +18 04 10.4          22.0 Rt     309
     G00516  'C2015 01 23.12919 07 39 30.51 +18 04 10.5          21.9 Rt     309
     G00516  'C2015 01 23.13040 07 39 30.42 +18 04 10.8          22.1 Rt     309
     G00516  'C2015 01 23.13160 07 39 30.35 +18 04 11.0          21.8 Rt     309
     G00516  'C2015 01 23.13281 07 39 30.26 +18 04 11.0          22.0 Rt     309
     G00516  'C2015 01 23.13403 07 39 30.17 +18 04 11.3          21.9 Rt     309
     G00516  'C2015 01 23.13523 07 39 30.10 +18 04 11.6          22.0 Rt     309
     G00516  'C2015 01 23.13644 07 39 30.01 +18 04 11.7          21.9 Rt     309
     G00516  'C2015 01 23.13765 07 39 29.92 +18 04 11.9          22.1 Rt     309
     G00519 *'C2015 01 23.12678 07 40 55.91 +18 07 51.1          22.1 Rt     309
     G00519  'C2015 01 23.12799 07 40 55.83 +18 07 51.5          22.0 Rt     309
     G00519  'C2015 01 23.12919 07 40 55.75 +18 07 51.6          21.6 Rt     309
     G00519  'C2015 01 23.13040 07 40 55.68 +18 07 51.8          21.7 Rt     309
     G00519  'C2015 01 23.13160 07 40 55.61 +18 07 52.1          21.9 Rt     309
     G00519  'C2015 01 23.13281 07 40 55.56 +18 07 52.4          21.9 Rt     309
     G00519  'C2015 01 23.13403 07 40 55.47 +18 07 52.6          22.0 Rt     309
     G00519  'C2015 01 23.13523 07 40 55.41 +18 07 52.9          21.8 Rt     309
     G00519  'C2015 01 23.13644 07 40 55.35 +18 07 53.0          22.0 Rt     309
     G00519  'C2015 01 23.13765 07 40 55.28 +18 07 53.1          22.0 Rt     309
     G00521 *'C2015 01 23.12678 07 41 08.14 +18 16 53.1          21.7 Rt     309
     G00521  'C2015 01 23.12799 07 41 08.10 +18 16 54.1          21.8 Rt     309
     G00521  'C2015 01 23.12919 07 41 08.04 +18 16 55.1          21.8 Rt     309
     G00521  'C2015 01 23.13040 07 41 07.98 +18 16 55.9          21.8 Rt     309
     G00521  'C2015 01 23.13160 07 41 07.93 +18 16 56.9          21.6 Rt     309
     G00521  'C2015 01 23.13281 07 41 07.87 +18 16 57.7          21.5 Rt     309
     G00521  'C2015 01 23.13403 07 41 07.83 +18 16 58.6          21.5 Rt     309
     G00521  'C2015 01 23.13523 07 41 07.78 +18 16 59.6          21.6 Rt     309
     G00521  'C2015 01 23.13644 07 41 07.72 +18 17 00.4          21.3 Rt     309
     G00521  'C2015 01 23.13765 07 41 07.72 +18 17 02.0          22.5 Rt     309
     G00523 *'C2015 01 23.12799 07 40 52.46 +18 18 51.7          22.3 Rt     309
     G00523  'C2015 01 23.12919 07 40 52.41 +18 18 52.0          22.8 Rt     309
     G00523  'C2015 01 23.13040 07 40 52.32 +18 18 52.2          22.3 Rt     309
     G00523  'C2015 01 23.13160 07 40 52.26 +18 18 52.3          22.6 Rt     309
     G00523  'C2015 01 23.13403 07 40 52.12 +18 18 52.7          22.1 Rt     309
     G00523  'C2015 01 23.13523 07 40 52.06 +18 18 52.8          23.0 Rt     309
     G00523  'C2015 01 23.13644 07 40 51.98 +18 18 53.1          22.3 Rt     309
     GB0027 *(C2015 01 23.12678 07 39 30.20 +18 03 21.5          21.4  o     309
     GB0027  (C2015 01 23.13040 07 39 30.03 +18 03 22.4          21.4  o     309
     GB0027  (C2015 01 23.13403 07 39 29.86 +18 03 23.8          21.6  o     309
     GB0027  (C2015 01 23.13765 07 39 29.65 +18 03 24.9          21.6  o     309
     GB0030 *(C2015 01 23.12678 07 40 55.89 +18 07 51.4          21.9  o     309
     GB0030  (C2015 01 23.13040 07 40 55.66 +18 07 52.0          21.5  o     309
     GB0030  (C2015 01 23.13403 07 40 55.48 +18 07 52.8          22.1  o     309
     GB0030  (C2015 01 23.13765 07 40 55.27 +18 07 53.2          22.0  o     309
     GB0035 *(C2015 01 23.12678 07 41 08.14 +18 16 53.5          21.2  o     309
     GB0035  (C2015 01 23.13040 07 41 07.99 +18 16 56.0          21.5  o     309
     GB0035  (C2015 01 23.13403 07 41 07.83 +18 16 58.8          21.4  o     309
     GB0035  (C2015 01 23.13765 07 41 07.68 +18 17 01.6          21.2  o     309
     G00516 *'C2015 01 23.12678 07 39 30.67 +18 04 10.1          22.3 Rt     309
     G00516  'C2015 01 23.12799 07 39 30.59 +18 04 10.4          22.0 Rt     309
     G00516  'C2015 01 23.12919 07 39 30.51 +18 04 10.5          21.9 Rt     309
     G00516  'C2015 01 23.13040 07 39 30.42 +18 04 10.8          22.1 Rt     309
     G00516  'C2015 01 23.13160 07 39 30.35 +18 04 11.0          21.8 Rt     309
     G00516  'C2015 01 23.13281 07 39 30.26 +18 04 11.0          22.0 Rt     309
     G00516  'C2015 01 23.13403 07 39 30.17 +18 04 11.3          21.9 Rt     309
     G00516  'C2015 01 23.13523 07 39 30.10 +18 04 11.6          22.0 Rt     309
     G00516  'C2015 01 23.13644 07 39 30.01 +18 04 11.7          21.9 Rt     309
     G00516  'C2015 01 23.13765 07 39 29.92 +18 04 11.9          22.1 Rt     309
     G00521 *'C2015 01 23.12678 07 41 08.14 +18 16 53.1          21.7 Rt     309
     G00521  'C2015 01 23.12799 07 41 08.10 +18 16 54.1          21.8 Rt     309
     G00521  'C2015 01 23.12919 07 41 08.04 +18 16 55.1          21.8 Rt     309
     G00521  'C2015 01 23.13040 07 41 07.98 +18 16 55.9          21.8 Rt     309
     G00521  'C2015 01 23.13160 07 41 07.93 +18 16 56.9          21.6 Rt     309
     G00521  'C2015 01 23.13281 07 41 07.87 +18 16 57.7          21.5 Rt     309
     G00521  'C2015 01 23.13403 07 41 07.83 +18 16 58.6          21.5 Rt     309
     G00521  'C2015 01 23.13523 07 41 07.78 +18 16 59.6          21.6 Rt     309
     G00521  'C2015 01 23.13644 07 41 07.72 +18 17 00.4          21.3 Rt     309
     G00521  'C2015 01 23.13765 07 41 07.72 +18 17 02.0          22.5 Rt     309
     G00523 *'C2015 01 23.12799 07 40 52.46 +18 18 51.7          22.3 Rt     309
     G00523  'C2015 01 23.12919 07 40 52.41 +18 18 52.0          22.8 Rt     309
     G00523  'C2015 01 23.13040 07 40 52.32 +18 18 52.2          22.3 Rt     309
     G00523  'C2015 01 23.13160 07 40 52.26 +18 18 52.3          22.6 Rt     309
     G00523  'C2015 01 23.13403 07 40 52.12 +18 18 52.7          22.1 Rt     309
     G00523  'C2015 01 23.13523 07 40 52.06 +18 18 52.8          23.0 Rt     309
     G00523  'C2015 01 23.13644 07 40 51.98 +18 18 53.1          22.3 Rt     309
     GB0027 *(C2015 01 23.12678 07 39 30.20 +18 03 21.5          21.4  o     309
     GB0027  (C2015 01 23.13040 07 39 30.03 +18 03 22.4          21.4  o     309
     GB0027  (C2015 01 23.13403 07 39 29.86 +18 03 23.8          21.6  o     309
     GB0027  (C2015 01 23.13765 07 39 29.65 +18 03 24.9          21.6  o     309
     GB0032 *(C2015 01 23.12678 07 40 09.14 +18 13 53.2          21.3  o     309
     GB0032  (C2015 01 23.13040 07 40 08.62 +18 13 56.0          21.3  o     309
     GB0032  (C2015 01 23.13403 07 40 08.06 +18 13 58.6          21.2  o     309
     GB0032  (C2015 01 23.13765 07 40 07.50 +18 14 01.4          21.1  o     309
     GB0033 *(C2015 01 23.12678 07 40 20.39 +18 15 23.7          21.8  o     309
     GB0033  (C2015 01 23.13040 07 40 19.81 +18 15 26.9          21.5  o     309
     GB0033  (C2015 01 23.13403 07 40 19.33 +18 15 29.9          21.3  o     309
