     t01afd2 |C2015 01 21.26260209 03 48.183-03 06 08.46         23.80gV     W84
     t01afd2 |C2015 01 21.26505809 03 48.086-03 06 08.02         23.88gV     W84
     t01afd2 |C2015 01 21.26992909 03 47.881-03 06 06.89         23.41gV     W84
     t01afd2 |C2015 01 23.21255209 02 30.229-02 59 26.13         23.74gV     W84
     t01afd2 |C2015 01 23.21814209 02 29.992-02 59 24.95         23.63gV     W84
     t01afd2 |C2015 01 23.22709409 02 29.623-02 59 23.20         23.66gV     W84
     t01afd2 |C2015 01 23.24947709 02 28.709-02 59 18.31         23.25gV     W84
     t01afd2 |C2015 01 23.25727409 02 28.379-02 59 16.70         23.62gV     W84
     t01afd2 |C2015 01 23.28188709 02 27.348-02 59 11.56         23.58gV     W84
     t01afd2 |C2015 01 24.20626509 01 49.923-02 55 48.31         23.13gV     W84
     t01afd2 |C2015 01 24.20822809 01 49.846-02 55 47.61         23.58gV     W84
     t01afd2 |C2015 01 24.21003409 01 49.761-02 55 47.43         23.60gV     W84
     t01afd2 |C2015 01 24.28158709 01 46.770-02 55 31.49         23.88gV     W84
     t01afd2 |C2015 01 24.34960809 01 43.931-02 55 15.96         23.17gV     W84
     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84


     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
