     t038d6c |C2015 01 18.27698409 05 42.698-02 39 55.32         22.32gV     W84
     t038d6c |C2015 01 18.36350109 05 39.096-02 39 24.46         22.14gV     W84
     t038d6c |C2015 01 18.36576509 05 38.997-02 39 23.59         22.01gV     W84
     t038d6c |C2015 01 18.36688709 05 38.958-02 39 23.12         22.16gV     W84
     t038d6c |C2015 01 18.36914109 05 38.862-02 39 22.50         22.41gV     W84
     t038d6c |C2015 01 18.37027809 05 38.813-02 39 22.00         22.40gV     W84
     t038d6c |C2015 01 20.22452109 04 23.832-02 27 47.46         22.46gV     W84
     t038d6c |C2015 01 20.25118209 04 22.671-02 27 37.21         22.14gV     W84
     t038d6c |C2015 01 20.36396109 04 17.756-02 26 52.65         22.58gV     W84
     t038d6c |C2015 01 20.37015809 04 17.476-02 26 50.11         22.55gV     W84
     t038d6c |C2015 01 21.23128509 03 41.575-02 21 03.34         22.38gV     W84
     t038d6c |C2015 01 21.33682309 03 36.875-02 20 19.85         22.41gV     W84
     t038d6c |C2015 01 21.36717109 03 35.536-02 20 07.34         22.19gV     W84
     t038d6c |C2015 01 21.36840109 03 35.474-02 20 06.69         21.92gV     W84
     t038d6c |C2015 01 21.37086609 03 35.368-02 20 05.72         22.09gV     W84
     t038d6c |C2015 01 21.37210009 03 35.313-02 20 05.24         22.14gV     W84
     t038d6c |C2015 01 22.21026909 02 59.712-02 14 12.33         22.41gV     W84
     t038d6c |C2015 01 22.21520709 02 59.485-02 14 10.18         22.79gV     W84
     t038d6c |C2015 01 22.21655809 02 59.418-02 14 09.64         22.45gV     W84
     t038d6c |C2015 01 22.22196009 02 59.177-02 14 07.32         22.23gV     W84
     t038d6c |C2015 01 22.22331009 02 59.110-02 14 06.72         21.91gV     W84
     t038d6c |C2015 01 22.23008609 02 58.804-02 14 03.87         22.38gV     W84
     t038d6c |C2015 01 23.36259509 02 09.062-02 05 46.15         22.19gV     W84
     t038d6c |C2015 01 23.36488609 02 08.958-02 05 45.11         22.28gV     W84
     t038d6c |C2015 01 23.36734209 02 08.841-02 05 44.06         22.36gV     W84
     t038d6c |C2015 01 23.36858409 02 08.790-02 05 43.45         22.09gV     W84
     t038d6c |C2015 01 23.37106809 02 08.662-02 05 42.32         22.22gV     W84
     t038d6c |C2015 01 23.37231509 02 08.623-02 05 41.64         22.37gV     W84
     t038d6c |C2015 01 24.27005909 01 28.901-01 58 50.75         22.21gV     W84
     t038d6c |C2015 01 24.29806309 01 27.591-01 58 37.67         22.33gV     W84
     t038d6c |C2015 01 24.30347709 01 27.344-01 58 35.07         22.53gV     W84
     t038d6c |C2015 01 24.36201509 01 24.620-01 58 07.62         22.41gV     W84
     t038d6c |C2015 01 24.36814409 01 24.342-01 58 04.73         22.04gV     W84
     t038d6c |C2015 01 24.37330409 01 24.108-01 58 02.34         22.16gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84


     P10izz2* C2015 01 25.38260 08 58 03.585-01 05 17.95         21.8 wL     F51
     P10izz2  C2015 01 25.39570 08 58 02.801-01 05 18.30         21.9 wL     F51
     P10izz2  C2015 01 25.42178 08 58 01.213-01 05 18.59         22.0 wL     F51
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
