     t067a84 |C2014 03 01.10604111 32 29.030+02 20 28.56         23.34gV     W84
     t067a84 |C2014 03 01.21130411 32 25.311+02 20 35.04         23.16gV     W84
     t067a84 |C2014 03 01.30613811 32 21.959+02 20 40.83         23.36gV     W84
     t067a84 |C2014 03 02.09931711 31 54.649+02 21 29.66         22.67gV     W84
     t067a84 |C2014 03 02.19165811 31 51.337+02 21 34.94         23.19gV     W84
     t067a84 |C2014 03 02.28213511 31 48.124+02 21 40.57         23.25gV     W84
     t067a84 |C2014 03 02.37803611 31 44.712+02 21 46.59         23.55gV     W84
     t067a84 |C2014 03 03.08910111 31 20.095+02 22 31.05         23.01gV     W84
     t067a84 |C2014 03 03.18087911 31 16.811+02 22 36.79         23.12gV     W84
     t067a84 |C2014 03 03.28117011 31 13.219+02 22 43.25         22.74gV     W84
     t067a84 |C2014 03 03.38451311 31 09.532+02 22 49.63         23.58gV     W84


     t067a84 |C2014 03 03.38451311 31 09.532+02 22 49.63         23.58gV     W84
