     t084393 |C2015 01 18.21518809 04 51.686-01 48 46.15         23.38gV     W84
     t084393 |C2015 01 18.25895709 04 49.833-01 48 38.46         23.79gV     W84
     t084393 |C2015 01 18.29162909 04 48.454-01 48 32.79         23.68gV     W84
     t084393 |C2015 01 18.30852609 04 47.730-01 48 29.73         23.26gV     W84
     t084393 |C2015 01 18.32085409 04 47.228-01 48 27.77         23.49gV     W84
     t084393 |C2015 01 18.35002709 04 45.986-01 48 22.63         23.71gV     W84
     t084393 |C2015 01 19.21333309 04 10.626-01 45 46.05         23.74gV     W84
     t084393 |C2015 01 19.24664909 04 09.210-01 45 39.72         23.48gV     W84
     t084393 |C2015 01 19.26679509 04 08.335-01 45 35.93         23.08gV     W84
     t084393 |C2015 01 19.28245409 04 07.653-01 45 32.89         23.75gV     W84
     t084393 |C2015 01 19.29481609 04 07.134-01 45 30.53         23.40gV     W84
     t084393 |C2015 01 19.34638309 04 04.923-01 45 20.87         23.67gV     W84
     t084393 |C2015 01 20.20685709 03 29.105-01 42 34.78         23.40gV     W84
     t084393 |C2015 01 20.23655609 03 27.807-01 42 29.05         23.34gV     W84
     t084393 |C2015 01 20.24518409 03 27.426-01 42 27.19         23.66gV     W84
     t084393 |C2015 01 20.30025609 03 25.029-01 42 16.06         23.11gV     W84
     t084393 |C2015 01 20.32129309 03 24.125-01 42 12.09         23.83gV     W84
     t084393 |C2015 01 20.33794609 03 23.405-01 42 08.75         23.37gV     W84
     t084393 |C2015 01 21.20796509 02 46.659-01 39 10.95         23.60gV     W84
     t084393 |C2015 01 21.23128509 02 45.625-01 39 06.21         23.46gV     W84
     t084393 |C2015 01 21.25890709 02 44.424-01 39 00.30         23.43gV     W84
     t084393 |C2015 01 21.27327209 02 43.775-01 38 57.40         23.66gV     W84
     t084393 |C2015 01 21.29802209 02 42.683-01 38 52.03         23.85gV     W84
     t084393 |C2015 01 21.35120409 02 40.330-01 38 40.79         23.58gV     W84
     t084393 |C2015 01 22.24492209 02 02.038-01 35 27.82         23.50gV     W84
     t084393 |C2015 01 22.25291109 02 01.676-01 35 26.18         23.43gV     W84
     t084393 |C2015 01 22.28150309 02 00.407-01 35 19.79         23.51gV     W84
     t084393 |C2015 01 22.30613409 01 59.293-01 35 14.29         23.52gV     W84
     t084393 |C2015 01 22.32577609 01 58.426-01 35 10.00         23.58gV     W84
     t084393 |C2015 01 22.34508209 01 57.585-01 35 05.76         23.68gV     W84
     t084393 |C2015 01 23.24164609 01 18.676-01 31 42.13         23.45gV     W84
     t084393 |C2015 01 23.25504709 01 18.082-01 31 39.04         23.73gV     W84
     t084393 |C2015 01 23.26283509 01 17.714-01 31 37.01         23.54gV     W84
     t084393 |C2015 01 23.26954209 01 17.417-01 31 35.51         23.68gV     W84
     t084393 |C2015 01 23.27849709 01 17.006-01 31 33.49         23.32gV     W84
     t084393 |C2015 01 23.34359109 01 14.084-01 31 18.48         23.58gV     W84


     P10izz2* C2015 01 25.38260 08 58 03.585-01 05 17.95         21.8 wL     F51
     P10izz2  C2015 01 25.39570 08 58 02.801-01 05 18.30         21.9 wL     F51
     P10izz2  C2015 01 25.42178 08 58 01.213-01 05 18.59         22.0 wL     F51
     t001e04 |C2015 01 25.21516909 01 41.780-01 45 03.27         22.87gV     W84
     t001e04 |C2015 01 25.32072509 01 37.107-01 44 21.22         22.97gV     W84
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t084393 |C2015 01 23.34359109 01 14.084-01 31 18.48         23.58gV     W84
     t390a79 |C2015 01 23.35254409 01 43.130-01 31 42.41         23.06gV     W84
     t3fdf63 |C2015 01 25.21964409 01 58.986-01 36 42.82         23.36gV     W84
     t3fdf63 |C2015 01 25.23873709 01 58.137-01 36 37.65         23.67gV     W84
     t3fdf63 |C2015 01 25.24994109 01 57.633-01 36 34.61         23.67gV     W84
     t3fdf63 |C2015 01 25.28705709 01 55.983-01 36 25.18         23.72gV     W84
     t3fdf63 |C2015 01 25.29718609 01 55.522-01 36 22.47         23.52gV     W84
     t3fdf63 |C2015 01 25.33757509 01 53.753-01 36 12.06         23.68gV     W84
     t5d298e |C2015 01 25.32970809 01 40.406-01 47 45.71         23.09gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     tb40b9b |C2015 01 24.22348009 01 36.051-01 35 45.49         23.38gV     W84
     tb40b9b |C2015 01 24.23707709 01 35.321-01 35 44.30         23.00gV     W84
     tb40b9b |C2015 01 24.23819609 01 35.280-01 35 44.13         23.23gV     W84
     tb40b9b |C2015 01 24.28158709 01 33.035-01 35 40.30         23.02gV     W84
     tb40b9b |C2015 01 24.34091609 01 30.005-01 35 34.65         23.53gV     W84
     tb40b9b |C2015 01 24.34479909 01 29.814-01 35 34.35         23.61gV     W84
     te77523 |C2015 01 24.20626509 01 38.567-01 43 54.32         23.59gV     W84
     te77523 |C2015 01 24.28158709 01 34.681-01 44 06.02         23.06gV     W84
     te77523 |C2015 01 24.30752309 01 33.349-01 44 10.24         23.48gV     W84
     te77523 |C2015 01 24.31698109 01 32.880-01 44 11.43         23.41gV     W84
     te77523 |C2015 01 24.33294509 01 32.063-01 44 13.69         23.55gV     W84
     te77523 |C2015 01 24.35190309 01 31.089-01 44 16.64         23.47gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     tb40b9b |C2015 01 24.34091609 01 30.005-01 35 34.65         23.53gV     W84
     tb40b9b |C2015 01 24.34479909 01 29.814-01 35 34.35         23.61gV     W84
     tb40b9b |C2015 01 24.34091609 01 30.005-01 35 34.65         23.53gV     W84
     tb40b9b |C2015 01 24.34479909 01 29.814-01 35 34.35         23.61gV     W84
