     t0c7b34 |C2014 02 22.21095511 44 52.104-12 02 08.64         21.87iV     W84
     t0c7b34 |C2014 02 22.23447611 44 51.521-12 02 03.01         21.80iV     W84
     t0c7b34 |C2014 02 22.25381211 44 51.042-12 01 58.26         21.57iV     W84
     t0c7b34 |C2014 02 22.29269311 44 50.072-12 01 49.09         21.70iV     W84
     t0c7b34 |C2014 02 22.31217111 44 49.585-12 01 44.34         21.73iV     W84
     t0c7b34 |C2014 02 22.34119211 44 48.866-12 01 37.41         21.85iV     W84
     t0c7b34 |C2014 02 23.26179811 44 26.607-11 57 53.21         22.27gV     W84
     t0c7b34 |C2014 02 23.26354711 44 26.562-11 57 52.85         22.35gV     W84
     t0c7b34 |C2014 02 23.26712311 44 26.468-11 57 52.01         22.45gV     W84
     t0c7b34 |C2014 02 24.24654111 44 02.306-11 53 46.94         21.96iV     W84
     t0c7b34 |C2014 02 24.24927411 44 02.231-11 53 46.20         21.66iV     W84
     t0c7b34 |C2014 02 24.25573511 44 02.069-11 53 44.55         21.75iV     W84
     t0c7b34 |C2014 02 24.26221011 44 01.903-11 53 42.97         21.78iV     W84
     t0c7b34 |C2014 02 24.26867611 44 01.729-11 53 41.32         21.70iV     W84
     t0c7b34 |C2014 02 24.27190711 44 01.649-11 53 40.47         21.64iV     W84


     t0c7b34 |C2014 02 24.27190711 44 01.649-11 53 40.47         21.64iV     W84
     t3da135 |C2014 02 24.27190711 42 57.317-11 28 25.98         22.87iV     W84
