     t0ceac8 |C2015 01 18.21853509 03 23.857-01 49 29.96         23.35gV     W84
     t0ceac8 |C2015 01 18.25670609 03 22.213-01 49 25.28         23.26gV     W84
     t0ceac8 |C2015 01 18.27698409 03 21.349-01 49 22.53         23.55gV     W84
     t0ceac8 |C2015 01 18.29837909 03 20.424-01 49 19.56         23.31gV     W84
     t0ceac8 |C2015 01 18.33318509 03 18.926-01 49 15.23         23.96gV     W84
     t0ceac8 |C2015 01 18.34890109 03 18.250-01 49 13.45         23.75gV     W84
     t0ceac8 |C2015 01 19.27910209 02 39.164-01 47 10.50         23.74gV     W84
     t0ceac8 |C2015 01 19.28917909 02 38.748-01 47 08.99         23.68gV     W84
     t0ceac8 |C2015 01 19.32058409 02 37.363-01 47 04.70         23.71gV     W84
     t0ceac8 |C2015 01 20.21087909 01 59.583-01 44 58.44         23.60gV     W84
     t0ceac8 |C2015 01 20.25820709 01 57.483-01 44 51.31         23.48gV     W84
     t0ceac8 |C2015 01 20.25943709 01 57.430-01 44 51.29         23.14gV     W84
     t0ceac8 |C2015 01 20.26067109 01 57.390-01 44 51.30         23.05gV     W84
     t0ceac8 |C2015 01 20.29033609 01 56.056-01 44 46.89         23.96gV     W84
     t0ceac8 |C2015 01 20.32808409 01 54.414-01 44 41.43         23.41gV     W84
     t0ceac8 |C2015 01 21.23689209 01 15.339-01 42 23.38         23.32gV     W84
     t0ceac8 |C2015 01 21.26383209 01 14.129-01 42 19.21         23.58gV     W84
     t0ceac8 |C2015 01 21.36096009 01 09.811-01 42 04.20         23.30gV     W84


     t001e04 |C2015 01 25.21516909 01 41.780-01 45 03.27         22.87gV     W84
     t001e04 |C2015 01 25.32072509 01 37.107-01 44 21.22         22.97gV     W84
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t038d6c |C2015 01 24.27005909 01 28.901-01 58 50.75         22.21gV     W84
     t038d6c |C2015 01 24.29806309 01 27.591-01 58 37.67         22.33gV     W84
     t038d6c |C2015 01 24.30347709 01 27.344-01 58 35.07         22.53gV     W84
     t038d6c |C2015 01 24.36201509 01 24.620-01 58 07.62         22.41gV     W84
     t038d6c |C2015 01 24.36814409 01 24.342-01 58 04.73         22.04gV     W84
     t038d6c |C2015 01 24.37330409 01 24.108-01 58 02.34         22.16gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t084393 |C2015 01 22.24492209 02 02.038-01 35 27.82         23.50gV     W84
     t084393 |C2015 01 22.25291109 02 01.676-01 35 26.18         23.43gV     W84
     t084393 |C2015 01 22.28150309 02 00.407-01 35 19.79         23.51gV     W84
     t084393 |C2015 01 22.30613409 01 59.293-01 35 14.29         23.52gV     W84
     t084393 |C2015 01 22.32577609 01 58.426-01 35 10.00         23.58gV     W84
     t084393 |C2015 01 22.34508209 01 57.585-01 35 05.76         23.68gV     W84
     t084393 |C2015 01 23.24164609 01 18.676-01 31 42.13         23.45gV     W84
     t084393 |C2015 01 23.25504709 01 18.082-01 31 39.04         23.73gV     W84
     t084393 |C2015 01 23.26283509 01 17.714-01 31 37.01         23.54gV     W84
     t084393 |C2015 01 23.26954209 01 17.417-01 31 35.51         23.68gV     W84
     t084393 |C2015 01 23.27849709 01 17.006-01 31 33.49         23.32gV     W84
     t084393 |C2015 01 23.34359109 01 14.084-01 31 18.48         23.58gV     W84
     t0ceac8 |C2015 01 21.36096009 01 09.811-01 42 04.20         23.30gV     W84
     t33fcef |C2015 01 25.29718609 02 15.969-01 48 49.40         23.25gV     W84
     t33fcef |C2015 01 25.34991609 02 13.323-01 48 31.91         23.51gV     W84
     t390a79 |C2015 01 23.21479609 01 48.935-01 32 27.42         23.36gV     W84
