     t0d4e58 |C2015 01 22.21026909 06 37.226-01 59 17.11         22.60gV     W84
     t0d4e58 |C2015 01 22.24615809 06 35.475-01 59 02.12         23.03gV     W84
     t0d4e58 |C2015 01 22.27277209 06 34.167-01 58 50.57         23.02gV     W84
     t0d4e58 |C2015 01 22.29989609 06 32.818-01 58 39.23         22.96gV     W84
     t0d4e58 |C2015 01 22.32690109 06 31.513-01 58 27.89         22.98gV     W84
     t0d4e58 |C2015 01 22.36123809 06 29.841-01 58 13.22         23.37gV     W84
     t0d4e58 |C2015 01 23.20843609 05 50.052-01 52 07.46         22.82gV     W84
     t0d4e58 |C2015 01 23.27401409 05 46.781-01 51 38.63         22.89gV     W84
     t0d4e58 |C2015 01 23.30543309 05 45.213-01 51 24.75         23.02gV     W84
     t0d4e58 |C2015 01 23.32228109 05 44.378-01 51 17.32         22.88gV     W84
     t0d4e58 |C2015 01 23.34247609 05 43.371-01 51 08.46         23.03gV     W84
     t0d4e58 |C2015 01 23.36611009 05 42.210-01 50 58.08         23.21gV     W84
     t0d4e58 |C2015 01 24.20426709 05 02.298-01 44 42.22         23.40gV     W84
     t0d4e58 |C2015 01 24.22348009 05 01.310-01 44 33.53         23.03gV     W84
     t0d4e58 |C2015 01 24.23707709 05 00.626-01 44 27.26         22.56gV     W84
     t0d4e58 |C2015 01 24.25049909 04 59.964-01 44 21.17         23.12gV     W84
     t0d4e58 |C2015 01 24.27005909 04 58.972-01 44 12.40         23.15gV     W84
     t0d4e58 |C2015 01 24.29283409 04 57.806-01 44 01.67         23.69gV     W84
     t0d4e58 |C2015 01 25.21630009 04 13.082-01 36 53.20         22.61gV     W84
     t0d4e58 |C2015 01 25.25334209 04 11.190-01 36 35.72         22.82gV     W84
     t0d4e58 |C2015 01 25.28255209 04 09.702-01 36 21.92         23.10gV     W84
     t0d4e58 |C2015 01 25.32632809 04 07.474-01 36 01.09         23.07gV     W84
     t0d4e58 |C2015 01 25.34991609 04 06.278-01 35 50.00         22.83gV     W84
     t0d4e58 |C2015 01 25.37004109 04 05.264-01 35 40.52         22.43gV     W84


     t0d4e58 |C2015 01 25.37004109 04 05.264-01 35 40.52         22.43gV     W84
