     t0e02e9 |C2013 10 07.08955901 14 35.532+00 48 43.26         23.15gV     W84
     t0e02e9 |C2013 10 07.09223101 14 35.464+00 48 42.70         23.50gV     W84
     t0e02e9 |C2013 10 07.09487601 14 35.408+00 48 42.12         23.33gV     W84
     t0e02e9 |C2013 10 07.09752401 14 35.327+00 48 41.51         23.36gV     W84
     t0e02e9 |C2013 10 08.05140501 14 09.323+00 44 14.92         22.69iV     W84
     t0e02e9 |C2013 10 08.06997901 14 08.817+00 44 09.80         23.35rV     W84
     t0e02e9 |C2013 10 08.07264101 14 08.735+00 44 08.91         23.28rV     W84
     t0e02e9 |C2013 10 08.07531301 14 08.670+00 44 08.30         23.78gV     W84
     t0e02e9 |C2013 10 08.07797201 14 08.590+00 44 07.61         23.49gV     W84
     t0e02e9 |C2013 10 08.08320801 14 08.452+00 44 06.10         23.48gV     W84
     t0e02e9 |C2013 10 09.13208001 13 39.733+00 39 14.42         23.13iV     W84
     t0e02e9 |C2013 10 09.13473701 13 39.650+00 39 13.67         22.81iV     W84
     t0e02e9 |C2013 10 09.33957501 13 33.908+00 38 17.11         23.11rV     W84
     t0e02e9 |C2013 10 09.34224301 13 33.834+00 38 16.42         23.15rV     W84
     t0e02e9 |C2013 10 09.35023301 13 33.606+00 38 13.83         22.17iV     W84


     FD6t2m8 !C2013 10 09.35023 01 13 51.05 +00 35 15.3                      W84
     t0e02e9 |C2013 10 09.35023301 13 33.606+00 38 13.83         22.17iV     W84
