     t0e83c9 |C2013 01 05.27756708 04 58.065+06 28 37.87         22.96rV     W84
     t0e83c9 |C2013 01 05.28709908 04 57.609+06 28 38.39         22.74rV     W84
     t0e83c9 |C2013 01 05.28817108 04 57.564+06 28 38.30         22.87rV     W84
     t0e83c9 |C2013 01 06.27283708 04 12.381+06 29 26.13         22.87rV     W84
     t0e83c9 |C2013 01 06.28339208 04 11.890+06 29 26.78         22.42rV     W84
     t0e83c9 |C2013 01 06.30427208 04 10.847+06 29 27.74         22.84rV     W84
     t0e83c9 |C2013 01 07.24738608 03 27.061+06 30 21.78         22.91rV     W84
     t0e83c9 |C2013 01 07.25771508 03 26.558+06 30 22.55         22.77rV     W84
     t0e83c9 |C2013 01 07.26813108 03 26.046+06 30 23.05         22.71rV     W84
     t0e83c9 |C2013 01 07.27859308 03 25.533+06 30 23.69         22.61rV     W84


     t0e83c9 |C2013 01 07.27859308 03 25.533+06 30 23.69         22.61rV     W84
     te24036 |C2013 01 07.27859307 58 53.880+06 19 36.42         22.54rV     W84
