     t12814b |C2015 01 19.21333309 05 26.626-02 44 25.39         23.59gV     W84
     t12814b |C2015 01 19.24105309 05 25.192-02 44 28.53         23.57gV     W84
     t12814b |C2015 01 19.27014909 05 23.685-02 44 31.90         23.44gV     W84
     t12814b |C2015 01 19.29593509 05 22.343-02 44 34.65         23.49gV     W84
     t12814b |C2015 01 19.32621809 05 20.779-02 44 38.08         23.40gV     W84
     t12814b |C2015 01 19.35982009 05 19.044-02 44 42.05         23.15gV     W84
     t12814b |C2015 01 20.20685709 04 36.278-02 46 11.23         23.32gV     W84
     t12814b |C2015 01 20.25454609 04 33.760-02 46 16.17         23.54gV     W84
     t12814b |C2015 01 20.27056609 04 32.915-02 46 17.69         23.24gV     W84
     t12814b |C2015 01 20.30646209 04 31.034-02 46 21.34         23.62gV     W84
     t12814b |C2015 01 20.32129309 04 30.239-02 46 22.90         23.21gV     W84
     t12814b |C2015 01 20.34785209 04 28.863-02 46 25.54         23.45gV     W84
     t12814b |C2015 01 21.20796509 03 44.697-02 47 46.46         23.17gV     W84
     t12814b |C2015 01 21.23128509 03 43.450-02 47 48.57         23.36gV     W84
     t12814b |C2015 01 21.26505809 03 41.620-02 47 51.68         23.67gV     W84
     t12814b |C2015 01 21.29001809 03 40.305-02 47 53.83         23.65gV     W84
     t12814b |C2015 01 21.31764009 03 38.821-02 47 56.19         23.29gV     W84
     t12814b |C2015 01 21.35478309 03 36.837-02 47 59.56         23.35gV     W84
     t12814b |C2015 01 22.24615809 02 50.272-02 49 12.79         23.54gV     W84
     t12814b |C2015 01 22.27029509 02 48.949-02 49 14.76         23.60gV     W84
     t12814b |C2015 01 22.30236609 02 47.203-02 49 17.13         23.55gV     W84
     t12814b |C2015 01 22.32122509 02 46.176-02 49 18.70         23.10gV     W84
     t12814b |C2015 01 22.34385209 02 44.965-02 49 20.34         23.61gV     W84
     t12814b |C2015 01 22.36123809 02 44.020-02 49 21.79         23.43gV     W84
     t12814b |C2015 01 23.20843609 01 59.226-02 50 21.84         23.21gV     W84
     t12814b |C2015 01 23.24389009 01 57.265-02 50 24.18         23.17gV     W84
     t12814b |C2015 01 23.28746209 01 54.868-02 50 27.03         23.32gV     W84
     t12814b |C2015 01 23.31107609 01 53.568-02 50 28.55         23.24gV     W84
     t12814b |C2015 01 23.33575709 01 52.213-02 50 30.06         23.12gV     W84
     t12814b |C2015 01 23.35812709 01 50.988-02 50 31.54         23.09gV     W84
     t12814b |C2015 01 24.20626509 01 05.538-02 51 21.85         23.02gV     W84
     t12814b |C2015 01 24.23146109 01 04.126-02 51 23.28         23.59gV     W84
     t12814b |C2015 01 24.25296509 01 02.931-02 51 24.44         23.19gV     W84
     t12814b |C2015 01 24.28787609 01 00.965-02 51 26.08         23.58gV     W84
     t12814b |C2015 01 24.32647509 00 58.840-02 51 28.33         23.21gV     W84
     t12814b |C2015 01 24.35751409 00 57.116-02 51 29.90         23.28gV     W84


     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t12814b |C2015 01 24.35751409 00 57.116-02 51 29.90         23.28gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t391fd1 |C2015 01 24.35751409 00 38.446-03 08 11.01         23.23gV     W84
     t561d55 |C2015 01 25.27693109 02 00.997-02 52 08.64         23.14gV     W84
     t561d55 |C2015 01 25.29155409 02 00.283-02 52 02.40         23.61gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     t9eab7c |C2015 01 24.36814409 01 33.169-02 37 07.47         22.30gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     ta322ea |C2015 01 25.22975909 01 55.106-02 48 13.51         22.54gV     W84
     ta322ea |C2015 01 25.26459009 01 53.157-02 48 13.18         22.65gV     W84
     ta322ea |C2015 01 25.27356209 01 52.654-02 48 13.21         23.47gV     W84
     ta322ea |C2015 01 25.27693109 01 52.470-02 48 13.10         23.30gV     W84
     ta322ea |C2015 01 25.28593309 01 51.985-02 48 13.18         22.92gV     W84
     ta322ea |C2015 01 25.29493609 01 51.462-02 48 13.05         23.01gV     W84
     tfc16e9 |C2015 01 25.22077409 01 41.362-02 57 33.07         23.30gV     W84
     tfc16e9 |C2015 01 25.27918809 01 38.056-02 57 33.08         23.43gV     W84
     tfc16e9 |C2015 01 25.30502109 01 36.595-02 57 33.03         23.27gV     W84
     tfc16e9 |C2015 01 25.32632809 01 35.396-02 57 32.98         23.31gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
