     t12c88c |C2015 01 18.20955209 03 13.060-02 29 22.57         23.66gV     W84
     t12c88c |C2015 01 18.23199409 03 12.064-02 29 24.54         23.85gV     W84
     t12c88c |C2015 01 18.25335209 03 11.129-02 29 26.70         23.17gV     W84
     t12c88c |C2015 01 18.27698409 03 10.096-02 29 28.70         23.39gV     W84
     t12c88c |C2015 01 18.30173509 03 09.004-02 29 31.04         23.30gV     W84
     t12c88c |C2015 01 18.33878009 03 07.376-02 29 34.48         23.77gV     W84
     t12c88c |C2015 01 19.21103209 02 30.002-02 30 50.00         23.30gV     W84
     t12c88c |C2015 01 19.21960209 02 29.628-02 30 50.74         23.41gV     W84
     t12c88c |C2015 01 19.22526909 02 29.351-02 30 51.23         23.17gV     W84
     t12c88c |C2015 01 19.25224109 02 28.158-02 30 53.54         23.85gV     W84
     t12c88c |C2015 01 19.27126309 02 27.313-02 30 55.10         22.91gV     W84
     t12c88c |C2015 01 19.28917909 02 26.515-02 30 56.56         23.71gV     W84
     t12c88c |C2015 01 20.24025909 01 45.151-02 32 10.69         23.75gV     W84
     t12c88c |C2015 01 20.24148809 01 45.087-02 32 10.88         23.49gV     W84
     t12c88c |C2015 01 20.24518409 01 44.935-02 32 10.98         23.67gV     W84
     t12c88c |C2015 01 20.24887909 01 44.770-02 32 11.29         23.62gV     W84
     t12c88c |C2015 01 20.33301509 01 40.988-02 32 17.74         23.61gV     W84
     t12c88c |C2015 01 21.34750909 00 56.267-02 33 26.92         23.61gV     W84
     t12c88c |C2015 01 21.35972509 00 55.698-02 33 27.86         23.36gV     W84
     t12c88c |C2015 01 22.29613909 00 14.090-02 34 23.57         23.64gV     W84
     t12c88c |C2015 01 22.31998309 00 12.999-02 34 25.03         23.27gV     W84
     t12c88c |C2015 01 22.32802709 00 12.621-02 34 25.53         23.23gV     W84
     t12c88c |C2015 01 22.34508209 00 11.841-02 34 26.32         23.39gV     W84
     t12c88c |C2015 01 23.21367208 59 32.991-02 35 11.06         23.78gV     W84
     t12c88c |C2015 01 23.24947708 59 31.332-02 35 12.66         23.30gV     W84
     t12c88c |C2015 01 23.26730308 59 30.521-02 35 13.48         23.08gV     W84
     t12c88c |C2015 01 23.28188708 59 29.841-02 35 14.11         23.26gV     W84
     t12c88c |C2015 01 23.29871808 59 29.062-02 35 14.92         23.78gV     W84
     t12c88c |C2015 01 23.35030108 59 26.680-02 35 17.41         23.87gV     W84


     t12c88c |C2015 01 23.35030108 59 26.680-02 35 17.41         23.87gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t2f3bec |C2015 01 24.30213509 00 07.372-02 49 03.39         22.03gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     tc522a5 |C2015 01 24.20426708 59 33.937-02 23 27.39         23.07gV     W84
     tc522a5 |C2015 01 24.25420608 59 30.736-02 23 40.26         22.56gV     W84
     tc522a5 |C2015 01 24.27619008 59 29.324-02 23 46.00         22.33gV     W84
     tc522a5 |C2015 01 24.32374908 59 26.287-02 23 57.99         22.67gV     W84
     tc522a5 |C2015 01 24.34226408 59 25.095-02 24 02.77         22.78gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
     tff77dd |C2015 01 24.20426708 59 51.645-02 48 41.50         23.11gV     W84
     tff77dd |C2015 01 24.24047308 59 49.551-02 48 36.89         23.30gV     W84
     tff77dd |C2015 01 24.27123708 59 47.789-02 48 33.06         22.82gV     W84
     tff77dd |C2015 01 24.32104008 59 44.921-02 48 26.61         22.65gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
