     t12e4e9 |C2013 01 05.29212008 15 37.631+04 39 39.92         22.73rV     W84
     t12e4e9 |C2013 01 05.31293908 15 36.662+04 39 54.77         22.56rV     W84
     t12e4e9 |C2013 01 05.32365808 15 36.172+04 40 02.26         22.41rV     W84
     t12e4e9 |C2013 01 06.33346608 14 50.933+04 52 01.39         22.93rV     W84
     t12e4e9 |C2013 01 06.34394108 14 50.422+04 52 08.83         22.78rV     W84
     t12e4e9 |C2013 01 07.28673608 14 07.439+05 03 34.63         22.75rV     W84
     t12e4e9 |C2013 01 07.29705408 14 06.937+05 03 42.60         22.51rV     W84
     t12e4e9 |C2013 01 07.30764308 14 06.435+05 03 50.13         22.64rV     W84
     t12e4e9 |C2013 01 07.31808108 14 05.938+05 03 57.84         22.82rV     W84


     t12e4e9 |C2013 01 07.31808108 14 05.938+05 03 57.84         22.82rV     W84
