     t13007d |C2014 03 08.05488810 19 45.043-00 16 06.98         23.20rV     W84
     t13007d |C2014 03 08.13934310 19 42.716-00 15 45.27         23.15rV     W84
     t13007d |C2014 03 08.22185410 19 40.463-00 15 24.20         22.49iV     W84
     t13007d |C2014 03 08.28962210 19 38.570-00 15 06.35         23.15rV     W84
     t13007d |C2014 03 09.09314710 19 17.274-00 11 39.73         23.06rV     W84
     t13007d |C2014 03 09.10540210 19 16.947-00 11 36.57         23.41rV     W84
     t13007d |C2014 03 09.11765910 19 16.605-00 11 33.32         23.73rV     W84
     t13007d |C2014 03 09.31077310 19 11.359-00 10 43.46         23.89gV     W84
     t13007d |C2014 03 09.31574310 19 11.238-00 10 42.34         23.44rV     W84
     t13007d |C2014 03 10.03149810 18 52.520-00 07 37.35         22.89rV     W84
     t13007d |C2014 03 10.11520710 18 50.234-00 07 15.57         23.21rV     W84
     t13007d |C2014 03 10.15898410 18 49.079-00 07 04.53         23.33iV     W84
     t13007d |C2014 03 10.23304110 18 47.086-00 06 45.25         23.81gV     W84
     t13007d |C2014 03 10.25289310 18 46.549-00 06 40.15         24.09gV     W84
     t13007d |C2014 03 10.28505710 18 45.699-00 06 31.97         23.47rV     W84


     t13007d |C2014 03 10.28505710 18 45.699-00 06 31.97         23.47rV     W84
     t4a4a84 |C2014 03 10.28505710 15 55.703+00 07 06.96         23.36rV     W84
