     t131be1 |C2013 01 05.29749708 27 53.330+06 42 51.82         23.01rV     W84
     t131be1 |C2013 01 05.31840108 27 52.695+06 42 51.79         22.63rV     W84
     t131be1 |C2013 01 05.32900908 27 52.372+06 42 51.63         22.70rV     W84
     t131be1 |C2013 01 06.31786608 27 23.048+06 42 46.38         22.41rV     W84
     t131be1 |C2013 01 06.34925908 27 22.093+06 42 46.20         23.04rV     W84
     t131be1 |C2013 01 07.29209108 26 53.808+06 42 45.44         22.61rV     W84
     t131be1 |C2013 01 07.30243308 26 53.480+06 42 45.53         22.47rV     W84
     t131be1 |C2013 01 07.31301408 26 53.162+06 42 45.45         22.82rV     W84
     t131be1 |C2013 01 07.32342708 26 52.831+06 42 45.45         22.14rV     W84


     t131be1 |C2013 01 07.32342708 26 52.831+06 42 45.45         22.14rV     W84
     t536071 |C2013 01 07.32342708 26 22.107+06 31 41.16         22.67rV     W84
