     t1ed05c |C2015 01 21.20796509 05 34.046-02 51 49.15         23.49gV     W84
     t1ed05c |C2015 01 21.22570009 05 33.097-02 51 45.17         23.62gV     W84
     t1ed05c |C2015 01 21.30050109 05 29.079-02 51 28.91         23.39gV     W84
     t1ed05c |C2015 01 21.32118109 05 27.946-02 51 24.18         23.51gV     W84
     t1ed05c |C2015 01 21.33905009 05 26.994-02 51 20.31         23.24gV     W84
     t1ed05c |C2015 01 21.35972509 05 25.907-02 51 15.82         23.13gV     W84
     t1ed05c |C2015 01 22.22873509 04 40.509-02 47 59.67         23.98gV     W84
     t1ed05c |C2015 01 22.24727009 04 39.506-02 47 55.68         23.47gV     W84
     t1ed05c |C2015 01 22.26782309 04 38.390-02 47 50.85         23.68gV     W84
     t1ed05c |C2015 01 22.30236609 04 36.509-02 47 42.81         23.22gV     W84
     t1ed05c |C2015 01 22.32241109 04 35.426-02 47 38.05         23.23gV     W84
     t1ed05c |C2015 01 22.35249809 04 33.808-02 47 31.19         23.30gV     W84
     t1ed05c |C2015 01 23.20843609 03 48.701-02 44 07.71         23.36gV     W84
     t1ed05c |C2015 01 23.22596809 03 47.738-02 44 03.71         23.14gV     W84
     t1ed05c |C2015 01 23.23940709 03 47.002-02 44 00.29         23.02gV     W84
     t1ed05c |C2015 01 23.25171309 03 46.323-02 43 57.35         23.56gV     W84
     t1ed05c |C2015 01 23.29983109 03 43.706-02 43 45.69         21.51gV     W84
     t1ed05c |C2015 01 23.35701909 03 40.578-02 43 31.63         23.48gV     W84
     t1ed05c |C2015 01 24.20822809 02 55.339-02 39 58.85         23.33gV     W84
     t1ed05c |C2015 01 24.23034409 02 54.119-02 39 53.25         23.32gV     W84
     t1ed05c |C2015 01 24.25791909 02 52.610-02 39 46.25         23.28gV     W84
     t1ed05c |C2015 01 24.27885209 02 51.458-02 39 40.95         23.46gV     W84
     t1ed05c |C2015 01 24.32783309 02 48.747-02 39 28.35         23.60gV     W84
     t1ed05c |C2015 01 24.35302309 02 47.374-02 39 21.88         23.32gV     W84
     t1ed05c |C2015 01 25.20889709 02 01.536-02 35 37.86         23.72gV     W84
     t1ed05c |C2015 01 25.23426109 02 00.128-02 35 31.22         23.06gV     W84
     t1ed05c |C2015 01 25.26234509 01 58.569-02 35 23.56         23.10gV     W84
     t1ed05c |C2015 01 25.28593309 01 57.257-02 35 17.27         23.47gV     W84
     t1ed05c |C2015 01 25.31511909 01 55.643-02 35 09.60         23.34gV     W84
     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84


     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
