     t200bf9 |C2015 01 22.24220909 07 08.881-02 17 07.11         23.02gV     W84
     t200bf9 |C2015 01 22.24615809 07 08.686-02 17 06.76         23.56gV     W84
     t200bf9 |C2015 01 22.26782309 07 07.627-02 17 05.58         23.22gV     W84
     t200bf9 |C2015 01 22.27526009 07 07.291-02 17 05.04         23.60gV     W84
     t200bf9 |C2015 01 22.34879609 07 03.743-02 17 00.85         23.47gV     W84
     t200bf9 |C2015 01 22.35003809 07 03.677-02 17 00.73         23.32gV     W84
     t200bf9 |C2015 01 23.21045209 06 23.470-02 16 06.74         22.80gV     W84
     t200bf9 |C2015 01 23.22596809 06 22.719-02 16 05.73         23.25gV     W84
     t200bf9 |C2015 01 23.25393409 06 21.339-02 16 03.82         23.60gV     W84
     t200bf9 |C2015 01 23.26508109 06 20.800-02 16 03.10         23.29gV     W84
     t200bf9 |C2015 01 23.28074909 06 20.032-02 16 02.11         23.31gV     W84
     t200bf9 |C2015 01 23.32228109 06 18.029-02 15 59.21         23.50gV     W84
     t200bf9 |C2015 01 24.21003409 05 36.091-02 14 54.11         23.17gV     W84
     t200bf9 |C2015 01 24.23258009 05 34.965-02 14 52.25         23.14gV     W84
     t200bf9 |C2015 01 24.26039309 05 33.594-02 14 49.85         23.78gV     W84
     t200bf9 |C2015 01 24.28538609 05 32.384-02 14 48.00         23.61gV     W84
     t200bf9 |C2015 01 24.34091609 05 29.646-02 14 43.71         23.61gV     W84
     t200bf9 |C2015 01 24.35864509 05 28.772-02 14 42.18         23.48gV     W84


     t038d6c |C2015 01 24.36201509 01 24.620-01 58 07.62         22.41gV     W84
     t038d6c |C2015 01 24.36814409 01 24.342-01 58 04.73         22.04gV     W84
     t038d6c |C2015 01 24.37330409 01 24.108-01 58 02.34         22.16gV     W84
     t200bf9 |C2015 01 24.35864509 05 28.772-02 14 42.18         23.48gV     W84
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     ta2d659 |C2015 01 25.20889709 01 41.342-02 25 40.46         23.80gV     W84
     ta2d659 |C2015 01 25.23762509 01 39.975-02 25 36.31         23.52gV     W84
     ta2d659 |C2015 01 25.26234509 01 38.798-02 25 32.62         23.52gV     W84
     ta2d659 |C2015 01 25.28705709 01 37.624-02 25 29.12         23.42gV     W84
     ta2d659 |C2015 01 25.31735809 01 36.179-02 25 24.76         23.10gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
     ta79c79 |C2015 01 24.35976509 05 21.200-02 26 57.24         23.20gV     W84
     tb66905 |C2015 01 25.20889709 03 06.919-02 12 09.17         23.91gV     W84
     tb66905 |C2015 01 25.22975909 03 05.794-02 12 05.70         23.59gV     W84
     tb66905 |C2015 01 25.24209909 03 05.154-02 12 04.01         23.88gV     W84
     tb66905 |C2015 01 25.25783609 03 04.292-02 12 01.80         23.16gV     W84
     tb66905 |C2015 01 25.32632809 03 00.603-02 11 51.01         23.27gV     W84
     tb66905 |C2015 01 25.34991609 02 59.360-02 11 47.39         23.34gV     W84
     tf70cd2 |C2015 01 25.23314509 04 14.823-02 07 44.39         23.00gV     W84
     tf70cd2 |C2015 01 25.27580709 04 12.679-02 07 31.72         23.09gV     W84
     tf70cd2 |C2015 01 25.31398909 04 10.745-02 07 20.44         23.09gV     W84
     tf70cd2 |C2015 01 25.33757509 04 09.564-02 07 13.42         23.04gV     W84
     tf70cd2 |C2015 01 25.35325709 04 08.795-02 07 08.72         23.06gV     W84
     tf70cd2 |C2015 01 25.36557409 04 08.189-02 07 05.10         23.31gV     W84
     tb66905 |C2015 01 25.20889709 03 06.919-02 12 09.17         23.91gV     W84
     tb66905 |C2015 01 25.22975909 03 05.794-02 12 05.70         23.59gV     W84
     tb66905 |C2015 01 25.24209909 03 05.154-02 12 04.01         23.88gV     W84
     tb66905 |C2015 01 25.25783609 03 04.292-02 12 01.80         23.16gV     W84
     tb66905 |C2015 01 25.32632809 03 00.603-02 11 51.01         23.27gV     W84
     tb66905 |C2015 01 25.34991609 02 59.360-02 11 47.39         23.34gV     W84
     tf70cd2 |C2015 01 25.23314509 04 14.823-02 07 44.39         23.00gV     W84
     tf70cd2 |C2015 01 25.27580709 04 12.679-02 07 31.72         23.09gV     W84
     tf70cd2 |C2015 01 25.31398909 04 10.745-02 07 20.44         23.09gV     W84
     tf70cd2 |C2015 01 25.33757509 04 09.564-02 07 13.42         23.04gV     W84
     tf70cd2 |C2015 01 25.35325709 04 08.795-02 07 08.72         23.06gV     W84
     tf70cd2 |C2015 01 25.36557409 04 08.189-02 07 05.10         23.31gV     W84
