     t209e6a |C2014 03 01.06351310 39 17.228+00 16 51.16         23.26gV     W84
     t209e6a |C2014 03 01.16848110 39 14.053+00 17 11.37         23.48gV     W84
     t209e6a |C2014 03 01.26370410 39 11.170+00 17 29.68         23.24gV     W84
     t209e6a |C2014 03 01.35612510 39 08.398+00 17 47.39         23.47gV     W84
     t209e6a |C2014 03 02.24259510 38 42.224+00 20 38.53         23.21gV     W84
     t209e6a |C2014 03 02.33834710 38 39.344+00 20 57.13         23.49gV     W84
     t209e6a |C2014 03 03.23256310 38 13.000+00 23 51.39         23.14gV     W84
     t209e6a |C2014 03 03.34479410 38 09.620+00 24 13.39         23.46gV     W84


     t209e6a |C2014 03 03.34479410 38 09.620+00 24 13.39         23.46gV     W84
