     t265e7f |C2015 01 18.21293809 05 00.326-02 45 53.77         22.89gV     W84
     t265e7f |C2015 01 18.26121709 04 57.676-02 45 59.80         22.98gV     W84
     t265e7f |C2015 01 18.28597809 04 56.316-02 46 02.89         23.06gV     W84
     t265e7f |C2015 01 18.31187609 04 54.902-02 46 06.12         22.79gV     W84
     t265e7f |C2015 01 18.35339109 04 52.635-02 46 11.08         22.93gV     W84
     t265e7f |C2015 01 18.36350109 04 52.094-02 46 12.35         23.00gV     W84
     t265e7f |C2015 01 19.23093709 04 06.339-02 47 52.42         22.91gV     W84
     t265e7f |C2015 01 19.30040309 04 02.454-02 47 59.75         23.10gV     W84
     t265e7f |C2015 01 19.32172309 04 01.275-02 48 02.27         21.98gV     W84
     t265e7f |C2015 01 19.34751909 03 59.832-02 48 04.91         22.26gV     W84
     t265e7f |C2015 01 19.35423809 03 59.475-02 48 05.54         22.73gV     W84
     t265e7f |C2015 01 19.36318509 03 58.988-02 48 06.58         22.53gV     W84
     t265e7f |C2015 01 20.20685709 03 13.794-02 49 30.56         23.02gV     W84
     t265e7f |C2015 01 20.24764909 03 11.483-02 49 34.24         23.07gV     W84
     t265e7f |C2015 01 20.27304809 03 10.051-02 49 36.57         23.41gV     W84
     t265e7f |C2015 01 20.29405609 03 08.862-02 49 38.43         23.20gV     W84
     t265e7f |C2015 01 20.34412209 03 06.043-02 49 43.00         23.10gV     W84
     t265e7f |C2015 01 20.36396109 03 04.931-02 49 44.73         22.74gV     W84
     t265e7f |C2015 01 21.21343109 02 18.711-02 50 55.54         23.09gV     W84
     t265e7f |C2015 01 21.24537509 02 16.872-02 50 57.88         22.78gV     W84
     t265e7f |C2015 01 21.29337709 02 14.121-02 51 01.39         22.51gV     W84
     t265e7f |C2015 01 21.32342509 02 12.393-02 51 03.86         23.30gV     W84
     t265e7f |C2015 01 21.34628009 02 11.090-02 51 05.51         22.83gV     W84
     t265e7f |C2015 01 21.36717109 02 09.887-02 51 06.96         22.69gV     W84
     t265e7f |C2015 01 22.23008609 01 22.265-02 52 05.04         23.45gV     W84
     t265e7f |C2015 01 22.23278409 01 22.094-02 52 05.13         23.04gV     W84
     t265e7f |C2015 01 22.23547509 01 21.931-02 52 05.36         23.44gV     W84
     t265e7f |C2015 01 22.24357209 01 21.472-02 52 05.87         23.34gV     W84
     t265e7f |C2015 01 22.28802009 01 18.881-02 52 08.52         22.95gV     W84


     t01afd2 |C2015 01 24.20626509 01 49.923-02 55 48.31         23.13gV     W84
     t01afd2 |C2015 01 24.20822809 01 49.846-02 55 47.61         23.58gV     W84
     t01afd2 |C2015 01 24.21003409 01 49.761-02 55 47.43         23.60gV     W84
     t01afd2 |C2015 01 24.28158709 01 46.770-02 55 31.49         23.88gV     W84
     t01afd2 |C2015 01 24.34960809 01 43.931-02 55 15.96         23.17gV     W84
     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t12814b |C2015 01 23.20843609 01 59.226-02 50 21.84         23.21gV     W84
     t12814b |C2015 01 23.24389009 01 57.265-02 50 24.18         23.17gV     W84
     t12814b |C2015 01 23.28746209 01 54.868-02 50 27.03         23.32gV     W84
     t12814b |C2015 01 23.31107609 01 53.568-02 50 28.55         23.24gV     W84
     t12814b |C2015 01 23.33575709 01 52.213-02 50 30.06         23.12gV     W84
     t12814b |C2015 01 23.35812709 01 50.988-02 50 31.54         23.09gV     W84
     t12814b |C2015 01 24.20626509 01 05.538-02 51 21.85         23.02gV     W84
     t12814b |C2015 01 24.23146109 01 04.126-02 51 23.28         23.59gV     W84
     t12814b |C2015 01 24.25296509 01 02.931-02 51 24.44         23.19gV     W84
     t12814b |C2015 01 24.28787609 01 00.965-02 51 26.08         23.58gV     W84
     t12814b |C2015 01 24.32647509 00 58.840-02 51 28.33         23.21gV     W84
     t12814b |C2015 01 24.35751409 00 57.116-02 51 29.90         23.28gV     W84
     t265e7f |C2015 01 22.28802009 01 18.881-02 52 08.52         22.95gV     W84
     t2f3bec |C2015 01 23.33687109 01 32.508-02 38 30.04         22.64gV     W84
     t2f3bec |C2015 01 23.34918709 01 31.390-02 38 38.48         21.91gV     W84
     t2f3bec |C2015 01 23.36035509 01 30.390-02 38 45.45         22.35gV     W84
     t2f3bec |C2015 01 23.36371509 01 30.089-02 38 47.74         22.03gV     W84
     t2f3bec |C2015 01 23.36734209 01 29.770-02 38 50.18         21.93gV     W84
     t2f3bec |C2015 01 23.37231509 01 29.306-02 38 53.58         22.46gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t391fd1 |C2015 01 23.22149809 01 39.124-03 06 12.20         23.26gV     W84
     t391fd1 |C2015 01 23.25727409 01 37.140-03 06 16.47         23.57gV     W84
     t391fd1 |C2015 01 23.27401409 01 36.212-03 06 18.26         23.13gV     W84
     t391fd1 |C2015 01 23.29421109 01 35.067-03 06 20.70         23.39gV     W84
     t391fd1 |C2015 01 23.34024309 01 32.531-03 06 25.87         23.25gV     W84
     t391fd1 |C2015 01 23.35924109 01 31.492-03 06 27.91         23.27gV     W84
     t391fd1 |C2015 01 24.21003409 00 46.708-03 07 57.24         23.68gV     W84
     t391fd1 |C2015 01 24.22697009 00 45.749-03 07 58.74         23.26gV     W84
     t4c1722 |C2015 01 22.29866609 01 29.936-03 08 48.35         23.36gV     W84
     t4c1722 |C2015 01 22.34131109 01 27.856-03 08 36.42         23.69gV     W84
     t4c1722 |C2015 01 22.36123809 01 26.893-03 08 30.92         23.32gV     W84
     t4c1722 |C2015 01 23.21045209 00 47.533-03 04 27.01         23.17gV     W84
     t4c1722 |C2015 01 23.23157509 00 46.479-03 04 20.81         23.48gV     W84
     t4c1722 |C2015 01 23.27401409 00 44.385-03 04 08.31         23.27gV     W84
     t4c1722 |C2015 01 23.29758709 00 43.208-03 04 01.35         23.47gV     W84
     t4c1722 |C2015 01 23.32565209 00 41.824-03 03 53.25         23.34gV     W84
     t4c1722 |C2015 01 23.36488609 00 39.881-03 03 41.12         23.44gV     W84
     t561d55 |C2015 01 25.27693109 02 00.997-02 52 08.64         23.14gV     W84
     t561d55 |C2015 01 25.29155409 02 00.283-02 52 02.40         23.61gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     t7494cc |C2015 01 23.20843609 01 10.557-03 09 57.54         23.31gV     W84
     t7494cc |C2015 01 23.23269609 01 09.211-03 09 58.22         23.62gV     W84
     t8f36cd |C2015 01 22.30236609 00 47.617-02 59 38.80         23.83gV     W84
     t9eab7c |C2015 01 24.21451309 01 41.211-02 36 43.31         22.64gV     W84
     t9eab7c |C2015 01 24.26288809 01 38.670-02 36 50.89         22.58gV     W84
     t9eab7c |C2015 01 24.28414809 01 37.530-02 36 54.39         21.91gV     W84
     t9eab7c |C2015 01 24.32239109 01 35.547-02 37 00.41         22.48gV     W84
     t9eab7c |C2015 01 24.34603509 01 34.311-02 37 04.01         22.77gV     W84
     t9eab7c |C2015 01 24.36814409 01 33.169-02 37 07.47         22.30gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     ta322ea |C2015 01 25.22975909 01 55.106-02 48 13.51         22.54gV     W84
     ta322ea |C2015 01 25.26459009 01 53.157-02 48 13.18         22.65gV     W84
     ta322ea |C2015 01 25.27356209 01 52.654-02 48 13.21         23.47gV     W84
     ta322ea |C2015 01 25.27693109 01 52.470-02 48 13.10         23.30gV     W84
     ta322ea |C2015 01 25.28593309 01 51.985-02 48 13.18         22.92gV     W84
     ta322ea |C2015 01 25.29493609 01 51.462-02 48 13.05         23.01gV     W84
     tfc16e9 |C2015 01 25.22077409 01 41.362-02 57 33.07         23.30gV     W84
     tfc16e9 |C2015 01 25.27918809 01 38.056-02 57 33.08         23.43gV     W84
     tfc16e9 |C2015 01 25.30502109 01 36.595-02 57 33.03         23.27gV     W84
     tfc16e9 |C2015 01 25.32632809 01 35.396-02 57 32.98         23.31gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
     tff77dd |C2015 01 23.21255209 00 46.849-02 50 41.00         23.23gV     W84
     tff77dd |C2015 01 23.26508109 00 43.838-02 50 35.09         22.78gV     W84
     tff77dd |C2015 01 23.29307709 00 42.228-02 50 31.82         23.27gV     W84
     tff77dd |C2015 01 23.32228109 00 40.567-02 50 28.57         22.82gV     W84
