     t267086 |C2015 06 12.01077314 47 50.264-08 20 51.31         22.73rV     W84
     t267086 |C2015 06 12.01758514 47 50.021-08 20 52.33         23.96gV     W84
     t267086 |C2015 06 12.02099114 47 49.922-08 20 52.98         23.90gV     W84
     t267086 |C2015 06 13.98668214 46 48.242-08 26 15.29         22.33rV     W84
     t267086 |C2015 06 13.99349814 46 48.031-08 26 16.62         23.50gV     W84
     t267086 |C2015 06 13.99691514 46 47.921-08 26 17.18         23.63gV     W84
     t267086 |C2015 06 14.05815414 46 45.974-08 26 27.84         23.27gV     W84
     t267086 |C2015 06 14.05953514 46 45.936-08 26 28.24         22.91rV     W84
     t267086 |C2015 06 14.06380914 46 45.786-08 26 28.69         23.28gV     W84


     t253033 |C2015 06 15.00280014 47 04.057-08 34 22.03         23.26gV     W84
     t253033 |C2015 06 15.00419414 47 04.032-08 34 21.93         23.12rV     W84
     t267086 |C2015 06 14.06380914 46 45.786-08 26 28.69         23.28gV     W84
