     t2f39ab |C2015 01 18.21293809 02 41.837-03 05 50.25         23.64gV     W84
     t2f39ab |C2015 01 18.22077209 02 41.524-03 05 48.07         23.68gV     W84
     t2f39ab |C2015 01 18.25221009 02 40.238-03 05 38.12         23.27gV     W84
     t2f39ab |C2015 01 18.27584709 02 39.296-03 05 31.04         23.35gV     W84
     t2f39ab |C2015 01 18.31524909 02 37.696-03 05 18.55         23.25gV     W84
     t2f39ab |C2015 01 18.33094209 02 37.057-03 05 13.57         23.70gV     W84
     t2f39ab |C2015 01 19.22073509 02 02.749-03 00 28.29         23.56gV     W84
     t2f39ab |C2015 01 19.24440509 02 01.751-03 00 20.48         23.36gV     W84
     t2f39ab |C2015 01 19.26903509 02 00.762-03 00 12.22         23.39gV     W84
     t2f39ab |C2015 01 19.28022209 02 00.267-03 00 08.90         23.89gV     W84
     t2f39ab |C2015 01 19.30040309 01 59.436-03 00 02.06         23.79gV     W84
     t2f39ab |C2015 01 19.35199209 01 57.279-02 59 44.80         23.36gV     W84
     t2f39ab |C2015 01 20.21999409 01 23.081-02 54 50.33         23.94gV     W84
     t2f39ab |C2015 01 20.26314809 01 21.262-02 54 35.21         23.78gV     W84
     t2f39ab |C2015 01 20.29779109 01 19.794-02 54 23.08         23.87gV     W84
     t2f39ab |C2015 01 20.31389209 01 19.104-02 54 17.73         23.22gV     W84
     t2f39ab |C2015 01 20.33548509 01 18.180-02 54 09.97         23.76gV     W84
     t2f39ab |C2015 01 20.34289309 01 17.892-02 54 07.47         23.80gV     W84
     t2f39ab |C2015 01 21.21031409 00 42.965-02 48 56.89         23.26gV     W84
     t2f39ab |C2015 01 21.25030309 00 41.241-02 48 42.48         23.95gV     W84
     t2f39ab |C2015 01 21.26992909 00 40.417-02 48 35.18         23.62gV     W84
     t2f39ab |C2015 01 21.28668109 00 39.668-02 48 28.85         23.19gV     W84
     t2f39ab |C2015 01 21.32230609 00 38.144-02 48 16.09         23.60gV     W84
     t2f39ab |C2015 01 21.35849109 00 36.588-02 48 02.31         23.68gV     W84
     t2f39ab |C2015 01 22.29208508 59 58.047-02 42 10.51         23.04gV     W84
     t2f39ab |C2015 01 22.29343608 59 58.001-02 42 10.16         23.07gV     W84
     t2f39ab |C2015 01 22.35003808 59 55.517-02 41 47.96         23.10gV     W84


     P10intU* C2015 01 23.39806 08 55 13.479-02 17 39.04         22.2 wL     F51
     P10intU  C2015 01 23.41143 08 55 12.741-02 17 38.63         22.0 wL     F51
     P10intU  C2015 01 23.42476 08 55 12.005-02 17 37.96         22.1 wL     F51
     P10intU  C2015 01 23.43809 08 55 11.266-02 17 37.18         22.2 wL     F51
     P10izyT* C2015 01 25.38189 08 55 51.710-02 08 08.04         21.9 wL     F51
     P10izyT  C2015 01 25.39496 08 55 50.942-02 08 09.37         21.7 wL     F51
     P10izyT  C2015 01 25.42109 08 55 49.425-02 08 11.81         21.6 wL     F51
     t12c88c |C2015 01 23.21367208 59 32.991-02 35 11.06         23.78gV     W84
     t12c88c |C2015 01 23.24947708 59 31.332-02 35 12.66         23.30gV     W84
     t12c88c |C2015 01 23.26730308 59 30.521-02 35 13.48         23.08gV     W84
     t12c88c |C2015 01 23.28188708 59 29.841-02 35 14.11         23.26gV     W84
     t12c88c |C2015 01 23.29871808 59 29.062-02 35 14.92         23.78gV     W84
     t12c88c |C2015 01 23.35030108 59 26.680-02 35 17.41         23.87gV     W84
     t2f39ab |C2015 01 22.35003808 59 55.517-02 41 47.96         23.10gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t2f3bec |C2015 01 24.30213509 00 07.372-02 49 03.39         22.03gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t4c1722 |C2015 01 24.20626509 00 00.300-02 59 23.42         23.44gV     W84
     t4c1722 |C2015 01 24.21563808 59 59.831-02 59 20.53         23.02gV     W84
     t4c1722 |C2015 01 24.22466408 59 59.371-02 59 17.76         23.60gV     W84
     t4c1722 |C2015 01 24.23369408 59 58.911-02 59 15.09         23.09gV     W84
     t4c1722 |C2015 01 24.24271108 59 58.475-02 59 12.20         23.50gV     W84
     t4c1722 |C2015 01 24.26288808 59 57.445-02 59 05.94         22.36gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     tebc9b3 |C2015 01 23.20843608 59 25.249-02 50 50.74         23.17gV     W84
