     t2f3bec |C2015 01 20.22452109 06 01.168-02 02 17.38         21.83gV     W84
     t2f3bec |C2015 01 20.36272709 05 49.034-02 03 58.38         21.73gV     W84
     t2f3bec |C2015 01 20.36643109 05 48.707-02 04 00.85         21.96gV     W84
     t2f3bec |C2015 01 20.36890509 05 48.492-02 04 02.71         22.02gV     W84
     t2f3bec |C2015 01 20.37140109 05 48.275-02 04 04.63         22.38gV     W84
     t2f3bec |C2015 01 20.37387009 05 48.069-02 04 06.27         21.95gV     W84
     t2f3bec |C2015 01 21.23128509 04 35.634-02 14 21.51         21.89gV     W84
     t2f3bec |C2015 01 21.36096009 04 24.065-02 15 53.33         22.22gV     W84
     t2f3bec |C2015 01 21.36344109 04 23.853-02 15 55.00         22.37gV     W84
     t2f3bec |C2015 01 21.36593509 04 23.634-02 15 56.90         22.28gV     W84
     t2f3bec |C2015 01 21.36840109 04 23.415-02 15 58.55         22.41gV     W84
     t2f3bec |C2015 01 21.37086609 04 23.190-02 16 00.28         22.50gV     W84
     t2f3bec |C2015 01 22.22061009 03 10.393-02 25 53.19         21.86gV     W84
     t2f3bec |C2015 01 22.29866609 03 03.350-02 26 47.01         22.83gV     W84
     t2f3bec |C2015 01 22.36393309 02 57.482-02 27 31.79         21.90gV     W84
     t2f3bec |C2015 01 22.36662709 02 57.239-02 27 33.72         22.08gV     W84
     t2f3bec |C2015 01 22.37068409 02 56.858-02 27 36.57         22.30gV     W84
     t2f3bec |C2015 01 22.37337209 02 56.622-02 27 38.40         22.36gV     W84
     t2f3bec |C2015 01 23.33687109 01 32.508-02 38 30.04         22.64gV     W84
     t2f3bec |C2015 01 23.34918709 01 31.390-02 38 38.48         21.91gV     W84
     t2f3bec |C2015 01 23.36035509 01 30.390-02 38 45.45         22.35gV     W84
     t2f3bec |C2015 01 23.36371509 01 30.089-02 38 47.74         22.03gV     W84
     t2f3bec |C2015 01 23.36734209 01 29.770-02 38 50.18         21.93gV     W84
     t2f3bec |C2015 01 23.37231509 01 29.306-02 38 53.58         22.46gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t2f3bec |C2015 01 24.30213509 00 07.372-02 49 03.39         22.03gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84


     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     P10izva  C2015 01 25.40803 08 53 46.778-03 40 54.28         21.3 wL     F51
     P10izva  C2015 01 25.42109 08 53 46.208-03 40 49.32         21.2 wL     F51
