     t31a313 |C2018 01 23.25811309 13 41.114+15 15 48.56         21.67iV     W84
     t31a313 |C2018 01 23.25886509 13 41.074+15 15 48.58         21.84iV     W84
     t31a313 |C2018 01 25.25168709 12 00.440+15 18 03.40         21.67iV     W84
     t31a313 |C2018 01 25.25543809 12 00.247+15 18 03.55         22.11iV     W84
     t31a313 |C2018 01 25.31058809 11 57.344+15 18 07.65         22.87gV     W84
     t31a313 |C2018 01 26.25433709 11 08.959+15 19 13.69         21.78iV     W84
     t31a313 |C2018 01 26.25506609 11 08.922+15 19 13.87         22.18iV     W84
     t31a313 |C2018 01 26.30898609 11 06.044+15 19 17.42         22.30gV     W84
     t31a313 |C2018 01 26.30972409 11 06.013+15 19 17.89         23.12gV     W84
     t31a313 |C2018 01 27.21945609 10 19.009+15 20 22.90         21.90iV     W84
     t31a313 |C2018 01 27.22006909 10 18.984+15 20 22.82         21.31iV     W84
     t31a313 |C2018 01 27.30482509 10 14.422+15 20 28.71         21.92iV     W84


     t31a313 |C2018 01 27.30482509 10 14.422+15 20 28.71         21.92iV     W84
