     t33fcef |C2015 01 19.27686009 06 58.888-02 17 51.24         23.45gV     W84
     t33fcef |C2015 01 19.28357309 06 58.566-02 17 49.49         23.57gV     W84
     t33fcef |C2015 01 19.29367509 06 58.095-02 17 46.95         23.54gV     W84
     t33fcef |C2015 01 19.30264609 06 57.680-02 17 44.74         23.64gV     W84
     t33fcef |C2015 01 19.30824609 06 57.420-02 17 43.36         23.66gV     W84
     t33fcef |C2015 01 19.33852709 06 56.011-02 17 35.88         22.98gV     W84
     t33fcef |C2015 01 20.21087909 06 16.783-02 13 54.43         23.62gV     W84
     t33fcef |C2015 01 20.21547209 06 16.573-02 13 53.37         23.63gV     W84
     t33fcef |C2015 01 20.21773109 06 16.458-02 13 52.74         23.54gV     W84
     t33fcef |C2015 01 20.23408509 06 15.684-02 13 48.53         23.43gV     W84
     t33fcef |C2015 01 21.24906209 05 28.988-02 09 16.79         23.06gV     W84
     t33fcef |C2015 01 21.26505809 05 28.214-02 09 12.27         23.52gV     W84
     t33fcef |C2015 01 21.27996309 05 27.496-02 09 08.25         23.62gV     W84
     t33fcef |C2015 01 21.29561109 05 26.749-02 09 03.98         23.55gV     W84
     t33fcef |C2015 01 21.32230609 05 25.467-02 08 56.62         23.60gV     W84
     t33fcef |C2015 01 21.35601309 05 23.847-02 08 47.30         23.69gV     W84
     t33fcef |C2015 01 22.22738309 04 43.343-02 04 41.06         23.51gV     W84
     t33fcef |C2015 01 22.25628809 04 41.922-02 04 32.37         23.23gV     W84
     t33fcef |C2015 01 22.28150309 04 40.717-02 04 25.41         23.38gV     W84
     t33fcef |C2015 01 22.30613409 04 39.486-02 04 18.28         23.46gV     W84
     t33fcef |C2015 01 22.33026009 04 38.315-02 04 11.23         23.83gV     W84
     t33fcef |C2015 01 22.35747509 04 36.996-02 04 03.02         23.55gV     W84
     t33fcef |C2015 01 23.20843609 03 56.926-01 59 51.15         23.32gV     W84
     t33fcef |C2015 01 23.23717409 03 55.489-01 59 42.35         23.56gV     W84
     t33fcef |C2015 01 23.25727409 03 54.489-01 59 36.31         23.72gV     W84
     t33fcef |C2015 01 23.28300209 03 53.228-01 59 28.40         23.04gV     W84
     t33fcef |C2015 01 23.31107609 03 51.849-01 59 20.01         23.67gV     W84
     t33fcef |C2015 01 23.35701909 03 49.574-01 59 05.93         23.49gV     W84
     t33fcef |C2015 01 24.20626509 03 09.064-01 54 42.46         23.33gV     W84
     t33fcef |C2015 01 24.21788209 03 08.486-01 54 38.54         23.32gV     W84
     t33fcef |C2015 01 24.23707709 03 07.523-01 54 32.72         23.59gV     W84
     t33fcef |C2015 01 24.26039309 03 06.364-01 54 25.13         23.61gV     W84
     t33fcef |C2015 01 24.27619009 03 05.574-01 54 20.39         23.46gV     W84
     t33fcef |C2015 01 24.28538609 03 05.117-01 54 17.54         23.49gV     W84
     t33fcef |C2015 01 25.20889709 02 20.424-01 49 18.63         23.55gV     W84
     t33fcef |C2015 01 25.23426109 02 19.145-01 49 10.25         23.62gV     W84
     t33fcef |C2015 01 25.25446109 02 18.134-01 49 03.53         23.60gV     W84
     t33fcef |C2015 01 25.27245009 02 17.213-01 48 57.58         23.64gV     W84
     t33fcef |C2015 01 25.29718609 02 15.969-01 48 49.40         23.25gV     W84
     t33fcef |C2015 01 25.34991609 02 13.323-01 48 31.91         23.51gV     W84


     P10izz2* C2015 01 25.38260 08 58 03.585-01 05 17.95         21.8 wL     F51
     P10izz2  C2015 01 25.39570 08 58 02.801-01 05 18.30         21.9 wL     F51
     P10izz2  C2015 01 25.42178 08 58 01.213-01 05 18.59         22.0 wL     F51
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t33fcef |C2015 01 25.34991609 02 13.323-01 48 31.91         23.51gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
