     t3445c9 |C2015 01 25.20489108 44 23.009+00 16 59.03         21.48gV     W84
     t3445c9 |C2015 01 25.20587008 44 22.925+00 16 58.54         20.68iV     W84
     t3445c9 |C2015 01 25.20636008 44 22.910+00 16 58.65         20.24zV     W84
     t3445c9 |C2015 01 26.20543208 43 24.260+00 13 46.10         21.74gV     W84
     t3445c9 |C2015 01 26.20592608 43 24.231+00 13 46.00         21.23rV     W84
     t3445c9 |C2015 01 26.20640908 43 24.201+00 13 45.88         21.21iV     W84
     t3445c9 |C2015 01 26.20688508 43 24.172+00 13 45.76         21.39zV     W84
     t3445c9 |C2015 01 28.21097508 41 25.629+00 08 04.11         21.44rV     W84
     t3445c9 |C2015 01 28.21147008 41 25.602+00 08 04.09         21.22iV     W84
     t3445c9 |C2015 01 28.21306008 41 25.502+00 08 03.90         21.66zV     W84
     t3445c9 |C2015 01 29.20499108 40 26.604+00 05 36.76         21.79gV     W84
     t3445c9 |C2015 01 29.20550408 40 26.574+00 05 36.63         21.09rV     W84
     t3445c9 |C2015 01 29.20600408 40 26.543+00 05 36.61         20.90iV     W84
     t3445c9 |C2015 01 29.20649708 40 26.514+00 05 36.38         20.73zV     W84


     t3445c9 |C2015 01 29.20649708 40 26.514+00 05 36.38         20.73zV     W84
