     t356a28 |C2014 02 22.25059111 41 02.342-13 18 10.00         22.55iV     W84
     t356a28 |C2014 02 22.26350611 41 02.015-13 18 08.39         22.55iV     W84
     t356a28 |C2014 02 22.27976411 41 01.594-13 18 06.56         22.70iV     W84
     t356a28 |C2014 02 22.34119211 41 00.037-13 17 58.97         22.68iV     W84
     t356a28 |C2014 02 23.26179811 40 37.003-13 16 03.48         22.44gV     W84
     t356a28 |C2014 02 23.26354711 40 36.958-13 16 03.55         23.11gV     W84
     t356a28 |C2014 02 24.24720711 40 11.935-13 13 54.49         22.57iV     W84
     t356a28 |C2014 02 24.24927411 40 11.876-13 13 54.21         22.61iV     W84
     t356a28 |C2014 02 24.25573511 40 11.706-13 13 53.34         22.52iV     W84
     t356a28 |C2014 02 24.25896611 40 11.617-13 13 52.80         22.43iV     W84
     t356a28 |C2014 02 24.26867611 40 11.356-13 13 51.69         22.80iV     W84
     t356a28 |C2014 02 24.27190711 40 11.275-13 13 51.11         22.60iV     W84


     t356a28 |C2014 02 24.27190711 40 11.275-13 13 51.11         22.60iV     W84
