     t391fd1 |C2015 01 19.21333309 05 03.614-02 55 56.97         23.35gV     W84
     t391fd1 |C2015 01 19.26118409 05 01.115-02 56 06.14         23.17gV     W84
     t391fd1 |C2015 01 19.28022209 05 00.122-02 56 09.73         23.47gV     W84
     t391fd1 |C2015 01 19.30040309 04 59.085-02 56 13.42         23.37gV     W84
     t391fd1 |C2015 01 19.32284809 04 57.919-02 56 17.89         23.72gV     W84
     t391fd1 |C2015 01 19.35086709 04 56.485-02 56 23.08         23.61gV     W84
     t391fd1 |C2015 01 20.20685709 04 14.335-02 58 57.79         23.09gV     W84
     t391fd1 |C2015 01 20.31883909 04 08.406-02 59 16.86         22.84gV     W84
     t391fd1 |C2015 01 20.34908709 04 06.831-02 59 22.10         22.75gV     W84
     t391fd1 |C2015 01 20.35777309 04 06.366-02 59 23.81         22.98gV     W84
     t391fd1 |C2015 01 21.21231309 03 23.448-03 01 41.88         23.51gV     W84
     t391fd1 |C2015 01 21.22681309 03 22.669-03 01 44.17         23.29gV     W84
     t391fd1 |C2015 01 21.25153809 03 21.340-03 01 48.01         23.58gV     W84
     t391fd1 |C2015 01 21.27438709 03 20.099-03 01 51.43         23.76gV     W84
     t391fd1 |C2015 01 21.30050109 03 18.696-03 01 55.26         23.83gV     W84
     t391fd1 |C2015 01 21.32566309 03 17.335-03 01 58.95         23.68gV     W84
     t391fd1 |C2015 01 22.22738309 02 31.097-03 04 08.23         23.16gV     W84
     t391fd1 |C2015 01 22.24839509 02 29.967-03 04 11.00         23.60gV     W84
     t391fd1 |C2015 01 22.27650809 02 28.429-03 04 14.61         23.73gV     W84
     t391fd1 |C2015 01 22.30738709 02 26.738-03 04 19.00         23.31gV     W84
     t391fd1 |C2015 01 22.33740909 02 25.101-03 04 22.79         23.81gV     W84
     t391fd1 |C2015 01 22.36123809 02 23.818-03 04 26.10         23.49gV     W84
     t391fd1 |C2015 01 23.22149809 01 39.124-03 06 12.20         23.26gV     W84
     t391fd1 |C2015 01 23.25727409 01 37.140-03 06 16.47         23.57gV     W84
     t391fd1 |C2015 01 23.27401409 01 36.212-03 06 18.26         23.13gV     W84
     t391fd1 |C2015 01 23.29421109 01 35.067-03 06 20.70         23.39gV     W84
     t391fd1 |C2015 01 23.34024309 01 32.531-03 06 25.87         23.25gV     W84
     t391fd1 |C2015 01 23.35924109 01 31.492-03 06 27.91         23.27gV     W84
     t391fd1 |C2015 01 24.21003409 00 46.708-03 07 57.24         23.68gV     W84
     t391fd1 |C2015 01 24.22697009 00 45.749-03 07 58.74         23.26gV     W84
     t391fd1 |C2015 01 24.25049909 00 44.445-03 08 01.04         23.15gV     W84
     t391fd1 |C2015 01 24.28289609 00 42.618-03 08 04.33         23.71gV     W84
     t391fd1 |C2015 01 24.35302309 00 38.687-03 08 10.67         23.25gV     W84
     t391fd1 |C2015 01 24.35751409 00 38.446-03 08 11.01         23.23gV     W84


     t01afd2 |C2015 01 25.22864509 01 08.081-02 51 54.80         23.53gV     W84
     t01afd2 |C2015 01 25.25107709 01 07.141-02 51 49.55         23.53gV     W84
     t01afd2 |C2015 01 25.28142209 01 05.872-02 51 42.44         23.76gV     W84
     t01afd2 |C2015 01 25.30053709 01 05.067-02 51 37.93         23.72gV     W84
     t01afd2 |C2015 01 25.31847309 01 04.287-02 51 33.98         22.85gV     W84
     t01afd2 |C2015 01 25.33981809 01 03.412-02 51 28.78         23.91gV     W84
     t12814b |C2015 01 24.35751409 00 57.116-02 51 29.90         23.28gV     W84
     t391fd1 |C2015 01 24.35751409 00 38.446-03 08 11.01         23.23gV     W84
     t462647 |C2015 01 24.36690909 01 32.418-03 11 06.74         23.00gV     W84
     tfc16e9 |C2015 01 25.32632809 01 35.396-02 57 32.98         23.31gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
