     t3936fd |C2015 01 21.21343109 06 30.273-02 38 41.82         23.28gV     W84
     t3936fd |C2015 01 21.21900609 06 29.993-02 38 41.26         23.28gV     W84
     t3936fd |C2015 01 21.23128509 06 29.383-02 38 40.34         23.70gV     W84
     t3936fd |C2015 01 21.28556709 06 26.590-02 38 35.98         23.55gV     W84
     t3936fd |C2015 01 21.31764009 06 24.949-02 38 33.62         22.90gV     W84
     t3936fd |C2015 01 21.32900409 06 24.361-02 38 32.65         23.46gV     W84
     t3936fd |C2015 01 22.23682109 05 39.379-02 37 13.64         23.56gV     W84
     t3936fd |C2015 01 22.24220909 05 39.115-02 37 13.22         23.45gV     W84
     t3936fd |C2015 01 22.27899709 05 37.197-02 37 09.71         23.52gV     W84
     t3936fd |C2015 01 22.29866609 05 36.179-02 37 08.05         23.40gV     W84
     t3936fd |C2015 01 22.30361409 05 35.929-02 37 07.50         23.63gV     W84
     t3936fd |C2015 01 22.34631109 05 33.736-02 37 03.19         23.32gV     W84
     t3936fd |C2015 01 23.20843609 04 50.541-02 35 36.83         23.39gV     W84
     t3936fd |C2015 01 23.23045709 04 49.381-02 35 34.50         23.21gV     W84
     t3936fd |C2015 01 23.24947709 04 48.398-02 35 32.33         23.46gV     W84
     t3936fd |C2015 01 23.27512809 04 47.047-02 35 29.96         23.10gV     W84
     t3936fd |C2015 01 23.29646709 04 45.924-02 35 27.43         23.38gV     W84
     t3936fd |C2015 01 23.35590609 04 42.824-02 35 20.95         23.16gV     W84
     t3936fd |C2015 01 24.21228409 03 59.446-02 33 43.37         23.75gV     W84
     t3936fd |C2015 01 24.21676309 03 59.222-02 33 42.76         23.49gV     W84
     t3936fd |C2015 01 24.22124109 03 58.972-02 33 42.17         23.72gV     W84
     t3936fd |C2015 01 24.22466409 03 58.797-02 33 41.70         23.63gV     W84
     t3936fd |C2015 01 24.22922209 03 58.553-02 33 41.42         23.58gV     W84
     t3936fd |C2015 01 24.36814409 03 51.216-02 33 24.43         22.65gV     W84
     t3936fd |C2015 01 25.22864509 03 07.157-02 31 34.76         23.20gV     W84
     t3936fd |C2015 01 25.26570909 03 05.179-02 31 29.69         23.81gV     W84
     t3936fd |C2015 01 25.27918809 03 04.467-02 31 28.10         23.33gV     W84
     t3936fd |C2015 01 25.29043609 03 03.863-02 31 26.47         22.85gV     W84
     t3936fd |C2015 01 25.30389909 03 03.137-02 31 24.68         23.23gV     W84
     t3936fd |C2015 01 25.35998109 03 00.154-02 31 16.99         23.64gV     W84


     t1ed05c |C2015 01 25.36221009 01 53.033-02 34 56.71         23.36gV     W84
     t3936fd |C2015 01 25.35998109 03 00.154-02 31 16.99         23.64gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
     t8fe255 |C2015 01 25.36109709 00 38.652-02 25 19.68         22.52gV     W84
     t8fe255 |C2015 01 25.36334009 00 38.516-02 25 20.12         22.95gV     W84
     t8fe255 |C2015 01 25.36557409 00 38.381-02 25 20.22         22.83gV     W84
     t8fe255 |C2015 01 25.36669009 00 38.328-02 25 20.54         22.86gV     W84
     ta2d659 |C2015 01 25.36221009 01 34.054-02 25 18.27         23.23gV     W84
