     t3cf9fb |C2015 01 18.20955209 02 38.554-02 07 48.28         22.76gV     W84
     t3cf9fb |C2015 01 18.23087109 02 37.679-02 07 41.01         22.80gV     W84
     t3cf9fb |C2015 01 18.28146409 02 35.566-02 07 23.53         23.27gV     W84
     t3cf9fb |C2015 01 18.29613809 02 34.962-02 07 18.47         22.83gV     W84
     t3cf9fb |C2015 01 18.32309409 02 33.845-02 07 09.12         23.16gV     W84
     t3cf9fb |C2015 01 18.36464109 02 32.144-02 06 54.70         23.27gV     W84
     t3cf9fb |C2015 01 19.21846109 01 58.010-02 01 55.11         22.85gV     W84
     t3cf9fb |C2015 01 19.30824609 01 54.216-02 01 22.86         23.04gV     W84
     t3cf9fb |C2015 01 19.32509709 01 53.501-02 01 16.69         23.20gV     W84
     t3cf9fb |C2015 01 19.33964709 01 52.903-02 01 11.78         23.11gV     W84
     t3cf9fb |C2015 01 19.35423809 01 52.282-02 01 06.44         23.07gV     W84
     t3cf9fb |C2015 01 19.36764909 01 51.726-02 01 01.57         22.84gV     W84
     t3cf9fb |C2015 01 20.20685709 01 17.641-01 55 55.12         22.80gV     W84
     t3cf9fb |C2015 01 20.23779009 01 16.312-01 55 43.80         22.58gV     W84
     t3cf9fb |C2015 01 20.29529809 01 13.844-01 55 22.34         22.97gV     W84
     t3cf9fb |C2015 01 20.31638009 01 12.946-01 55 14.63         23.02gV     W84
     t3cf9fb |C2015 01 20.34661609 01 11.635-01 55 03.14         23.06gV     W84
     t3cf9fb |C2015 01 20.36272709 01 10.968-01 54 57.13         23.18gV     W84
     t3cf9fb |C2015 01 21.22123209 00 35.519-01 49 31.86         22.77gV     W84
     t3cf9fb |C2015 01 21.25276709 00 34.150-01 49 19.81         23.09gV     W84
     t3cf9fb |C2015 01 21.29925909 00 32.105-01 49 01.60         22.63gV     W84
     t3cf9fb |C2015 01 21.32566309 00 30.961-01 48 51.53         23.18gV     W84
     t3cf9fb |C2015 01 21.34381509 00 30.178-01 48 44.37         23.33gV     W84
     t3cf9fb |C2015 01 21.36468209 00 29.290-01 48 36.30         23.18gV     W84


     t001e04 |C2015 01 25.32072509 01 37.107-01 44 21.22         22.97gV     W84
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t01adcf |C2015 01 22.24220908 59 58.841-01 56 34.16         23.57gV     W84
     t01adcf |C2015 01 22.25516308 59 58.050-01 56 35.45         23.18gV     W84
     t01adcf |C2015 01 22.27526008 59 56.862-01 56 37.36         23.19gV     W84
     t01adcf |C2015 01 22.29613908 59 55.623-01 56 39.65         23.56gV     W84
     t01adcf |C2015 01 22.33026008 59 53.606-01 56 42.83         23.38gV     W84
     t01adcf |C2015 01 22.34755408 59 52.577-01 56 44.59         23.70gV     W84
     t038d6c |C2015 01 24.29806309 01 27.591-01 58 37.67         22.33gV     W84
     t038d6c |C2015 01 24.30347709 01 27.344-01 58 35.07         22.53gV     W84
     t038d6c |C2015 01 24.36201509 01 24.620-01 58 07.62         22.41gV     W84
     t038d6c |C2015 01 24.36814409 01 24.342-01 58 04.73         22.04gV     W84
     t038d6c |C2015 01 24.37330409 01 24.108-01 58 02.34         22.16gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t3cf9fb |C2015 01 21.36468209 00 29.290-01 48 36.30         23.18gV     W84
     t5d298e |C2015 01 25.32970809 01 40.406-01 47 45.71         23.09gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     tb5a12f |C2015 01 22.21026909 00 42.077-01 51 59.91         22.75gV     W84
     tb5a12f |C2015 01 22.23951509 00 40.592-01 51 50.46         22.67gV     W84
     tb5a12f |C2015 01 22.26303909 00 39.419-01 51 42.75         22.43gV     W84
     tb5a12f |C2015 01 22.28274309 00 38.404-01 51 36.34         22.94gV     W84
     tb5a12f |C2015 01 22.33865409 00 35.584-01 51 17.96         22.69gV     W84
     tb5a12f |C2015 01 22.37068409 00 33.975-01 51 07.53         22.70gV     W84
     te77523 |C2015 01 24.20626509 01 38.567-01 43 54.32         23.59gV     W84
     te77523 |C2015 01 24.28158709 01 34.681-01 44 06.02         23.06gV     W84
     te77523 |C2015 01 24.30752309 01 33.349-01 44 10.24         23.48gV     W84
     te77523 |C2015 01 24.31698109 01 32.880-01 44 11.43         23.41gV     W84
     te77523 |C2015 01 24.33294509 01 32.063-01 44 13.69         23.55gV     W84
     te77523 |C2015 01 24.35190309 01 31.089-01 44 16.64         23.47gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     tb5a12f |C2015 01 22.21026909 00 42.077-01 51 59.91         22.75gV     W84
     tb5a12f |C2015 01 22.23951509 00 40.592-01 51 50.46         22.67gV     W84
     tb5a12f |C2015 01 22.26303909 00 39.419-01 51 42.75         22.43gV     W84
     tb5a12f |C2015 01 22.28274309 00 38.404-01 51 36.34         22.94gV     W84
     tb5a12f |C2015 01 22.33865409 00 35.584-01 51 17.96         22.69gV     W84
     tb5a12f |C2015 01 22.37068409 00 33.975-01 51 07.53         22.70gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     tb5a12f |C2015 01 22.21026909 00 42.077-01 51 59.91         22.75gV     W84
     tb5a12f |C2015 01 22.23951509 00 40.592-01 51 50.46         22.67gV     W84
     tb5a12f |C2015 01 22.26303909 00 39.419-01 51 42.75         22.43gV     W84
     tb5a12f |C2015 01 22.28274309 00 38.404-01 51 36.34         22.94gV     W84
     tb5a12f |C2015 01 22.33865409 00 35.584-01 51 17.96         22.69gV     W84
     tb5a12f |C2015 01 22.37068409 00 33.975-01 51 07.53         22.70gV     W84
     te77523 |C2015 01 25.20889709 00 48.864-01 46 22.17         23.21gV     W84
     te77523 |C2015 01 25.23873709 00 47.311-01 46 26.43         23.23gV     W84
     te77523 |C2015 01 25.27580709 00 45.388-01 46 31.55         23.52gV     W84
     te77523 |C2015 01 25.30502109 00 43.877-01 46 35.86         22.79gV     W84
     te77523 |C2015 01 25.33195109 00 42.462-01 46 39.35         23.36gV     W84
     te77523 |C2015 01 25.36221009 00 40.914-01 46 43.50         23.56gV     W84
