     t3d09ce |C2014 03 08.04979410 18 06.549-00 23 57.37         23.64gV     W84
     t3d09ce |C2014 03 08.06159710 18 06.162-00 23 55.68         22.58iV     W84
     t3d09ce |C2014 03 08.06833710 18 05.961-00 23 55.20         22.75rV     W84
     t3d09ce |C2014 03 08.13934310 18 03.713-00 23 45.80         23.00rV     W84
     t3d09ce |C2014 03 08.14662610 18 03.480-00 23 45.08         22.97iV     W84
     t3d09ce |C2014 03 08.28234210 17 59.222-00 23 27.92         22.25gV     W84
     t3d09ce |C2014 03 09.08089410 17 34.624-00 21 45.30         23.18rV     W84
     t3d09ce |C2014 03 09.11765910 17 33.464-00 21 40.50         23.08rV     W84
     t3d09ce |C2014 03 09.14894610 17 32.472-00 21 36.56         23.95gV     W84
     t3d09ce |C2014 03 09.20007210 17 30.856-00 21 29.92         23.73gV     W84
     t3d09ce |C2014 03 09.21497910 17 30.377-00 21 27.85         22.83rV     W84
     t3d09ce |C2014 03 09.22988110 17 29.915-00 21 26.14         23.56gV     W84
     t3d09ce |C2014 03 10.01161610 17 06.138-00 19 45.17         23.11rV     W84
     t3d09ce |C2014 03 10.10528110 17 03.224-00 19 33.04         22.62rV     W84
     t3d09ce |C2014 03 10.12511310 17 02.610-00 19 30.48         23.04rV     W84
     t3d09ce |C2014 03 10.22310410 16 59.543-00 19 17.65         23.67gV     W84
     t3d09ce |C2014 03 10.23800510 16 59.079-00 19 15.88         22.91rV     W84
     t3d09ce |C2014 03 10.25289310 16 58.627-00 19 14.00         23.27gV     W84


     t3d09ce |C2014 03 10.25289310 16 58.627-00 19 14.00         23.27gV     W84
     ta2d223 |C2014 03 10.25785510 17 08.621-00 05 03.16         24.13rV     W84
     tc00c69 |C2014 03 10.25785510 17 02.949-00 33 45.33         23.02rV     W84
     tc00c69 |C2014 03 10.28505710 17 01.648-00 33 42.31         23.10rV     W84
