     t3ef29b |C2015 06 13.97984714 43 22.150-09 34 11.34         22.58rV     W84
     t3ef29b |C2015 06 13.99009114 43 21.878-09 34 12.66         23.68gV     W84
     t3ef29b |C2015 06 13.99691514 43 21.685-09 34 13.38         23.50gV     W84
     t3ef29b |C2015 06 14.04261214 43 20.475-09 34 18.04         22.82rV     W84
     t3ef29b |C2015 06 14.04406414 43 20.423-09 34 18.43         23.41gV     W84
     t3ef29b |C2015 06 14.04549514 43 20.410-09 34 18.28         22.67rV     W84
     t3ef29b |C2015 06 15.97788114 42 34.958-09 37 44.24         22.92rV     W84
     t3ef29b |C2015 06 15.99344914 42 34.596-09 37 45.94         22.90rV     W84


     t3ef29b |C2015 06 15.99344914 42 34.596-09 37 45.94         22.90rV     W84
