     t3fdf63 |C2015 01 19.24776809 06 09.683-01 59 38.66         23.91gV     W84
     t3fdf63 |C2015 01 19.26006609 06 09.162-01 59 36.01         23.43gV     W84
     t3fdf63 |C2015 01 19.26456109 06 08.972-01 59 35.10         24.00gV     W84
     t3fdf63 |C2015 01 19.27238109 06 08.654-01 59 33.81         23.76gV     W84
     t3fdf63 |C2015 01 19.27686009 06 08.455-01 59 32.75         23.89gV     W84
     t3fdf63 |C2015 01 19.30151709 06 07.434-01 59 27.83         23.86gV     W84
     t3fdf63 |C2015 01 20.24395409 05 29.096-01 56 14.47         23.69gV     W84
     t3fdf63 |C2015 01 20.26067109 05 28.373-01 56 10.78         23.59gV     W84
     t3fdf63 |C2015 01 20.26191209 05 28.326-01 56 10.67         23.34gV     W84
     t3fdf63 |C2015 01 20.29529809 05 26.900-01 56 03.75         23.58gV     W84
     t3fdf63 |C2015 01 20.34412209 05 24.853-01 55 53.50         23.30gV     W84
     t3fdf63 |C2015 01 20.34536909 05 24.794-01 55 53.28         23.61gV     W84
     t3fdf63 |C2015 01 21.23128509 04 48.328-01 52 42.42         23.73gV     W84
     t3fdf63 |C2015 01 21.26630009 04 46.817-01 52 34.49         23.42gV     W84
     t3fdf63 |C2015 01 21.28333509 04 46.089-01 52 30.64         23.21gV     W84
     t3fdf63 |C2015 01 21.28445409 04 46.053-01 52 30.42         23.53gV     W84
     t3fdf63 |C2015 01 21.29112609 04 45.755-01 52 29.01         23.41gV     W84
     t3fdf63 |C2015 01 22.24953209 04 05.728-01 48 52.67         23.87gV     W84
     t3fdf63 |C2015 01 22.29613909 04 03.707-01 48 41.87         23.51gV     W84
     t3fdf63 |C2015 01 23.21702909 03 24.867-01 45 04.43         23.21gV     W84
     t3fdf63 |C2015 01 23.24611909 03 23.573-01 44 57.70         23.31gV     W84
     t3fdf63 |C2015 01 23.24836309 03 23.487-01 44 57.13         23.70gV     W84
     t3fdf63 |C2015 01 23.25393409 03 23.238-01 44 55.67         23.63gV     W84
     t3fdf63 |C2015 01 23.28858909 03 21.727-01 44 47.37         23.62gV     W84
     t3fdf63 |C2015 01 23.34583009 03 19.219-01 44 33.49         23.20gV     W84
     t3fdf63 |C2015 01 24.25420609 02 40.527-01 40 49.78         23.65gV     W84
     t3fdf63 |C2015 01 24.25915809 02 40.302-01 40 48.31         23.44gV     W84
     t3fdf63 |C2015 01 24.28158709 02 39.296-01 40 42.91         23.26gV     W84
     t3fdf63 |C2015 01 24.31968209 02 37.647-01 40 33.26         23.58gV     W84
     t3fdf63 |C2015 01 25.21964409 01 58.986-01 36 42.82         23.36gV     W84
     t3fdf63 |C2015 01 25.23873709 01 58.137-01 36 37.65         23.67gV     W84
     t3fdf63 |C2015 01 25.24994109 01 57.633-01 36 34.61         23.67gV     W84
     t3fdf63 |C2015 01 25.28705709 01 55.983-01 36 25.18         23.72gV     W84
     t3fdf63 |C2015 01 25.29718609 01 55.522-01 36 22.47         23.52gV     W84
     t3fdf63 |C2015 01 25.33757509 01 53.753-01 36 12.06         23.68gV     W84


     P10izz2* C2015 01 25.38260 08 58 03.585-01 05 17.95         21.8 wL     F51
     P10izz2  C2015 01 25.39570 08 58 02.801-01 05 18.30         21.9 wL     F51
     P10izz2  C2015 01 25.42178 08 58 01.213-01 05 18.59         22.0 wL     F51
     t001e04 |C2015 01 25.33981809 01 36.264-01 44 13.61         22.66gV     W84
     t001e04 |C2015 01 25.34766609 01 35.932-01 44 10.41         23.18gV     W84
     t001e04 |C2015 01 25.35662509 01 35.526-01 44 06.84         22.97gV     W84
     t001e04 |C2015 01 25.36669009 01 35.083-01 44 02.76         23.26gV     W84
     t33fcef |C2015 01 25.34991609 02 13.323-01 48 31.91         23.51gV     W84
     t3fdf63 |C2015 01 25.33757509 01 53.753-01 36 12.06         23.68gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
