     t40fe87 |C2015 06 13.98325514 41 41.502-08 45 33.12         22.92rV     W84
     t40fe87 |C2015 06 13.99009114 41 41.357-08 45 33.06         23.03gV     W84
     t40fe87 |C2015 06 13.99349814 41 41.292-08 45 33.15         23.02gV     W84
     t40fe87 |C2015 06 14.04406414 41 40.186-08 45 32.61         23.65gV     W84
     t40fe87 |C2015 06 14.04549514 41 40.159-08 45 32.95         22.90rV     W84
     t40fe87 |C2015 06 14.06516614 41 39.728-08 45 32.83         22.58rV     W84
     t40fe87 |C2015 06 15.00280014 41 22.217-08 45 34.57         23.39gV     W84
     t40fe87 |C2015 06 15.00419414 41 22.182-08 45 34.43         22.92rV     W84
     t40fe87 |C2015 06 15.98254614 41 05.453-08 45 45.95         23.82gV     W84
     t40fe87 |C2015 06 15.98408014 41 05.418-08 45 45.88         23.36rV     W84


     t40fe87 |C2015 06 15.98408014 41 05.418-08 45 45.88         23.36rV     W84
