     t43150d |C2013 01 05.23590808 09 24.280+01 34 28.87         22.61rV     W84
     t43150d |C2013 01 05.24629108 09 23.955+01 34 28.11         22.72rV     W84
     t43150d |C2013 01 06.23541008 08 53.040+01 33 27.78         22.72rV     W84
     t43150d |C2013 01 06.24594008 08 52.706+01 33 27.12         23.13rV     W84
     t43150d |C2013 01 06.25634808 08 52.372+01 33 26.46         23.14rV     W84
     t43150d |C2013 01 06.26672908 08 52.035+01 33 26.00         23.38rV     W84
     t43150d |C2013 01 07.21025108 08 22.282+01 32 33.07         22.30rV     W84
     t43150d |C2013 01 07.24133108 08 21.276+01 32 31.71         22.77rV     W84


     t43150d |C2013 01 07.24133108 08 21.276+01 32 31.71         22.77rV     W84
