     t44c1d7 |C2013 02 11.15896309 59 03.988+02 42 33.38         23.62gV     W84
     t44c1d7 |C2013 02 11.17035709 59 03.449+02 42 35.56         23.34gV     W84
     t44c1d7 |C2013 02 11.18176709 59 02.909+02 42 37.96         23.27gV     W84
     t44c1d7 |C2013 02 11.18939109 59 02.546+02 42 39.73         23.40gV     W84
     t44c1d7 |C2013 02 11.33229209 58 55.924+02 43 10.19         23.57gV     W84
     t44c1d7 |C2013 02 11.34373109 58 55.411+02 43 12.48         23.27gV     W84
     t44c1d7 |C2013 02 12.29600809 58 12.275+02 46 37.81         23.80gV     W84
     t44c1d7 |C2013 02 12.31784309 58 11.357+02 46 42.23         23.59gV     W84
     t44c1d7 |C2013 02 12.32514109 58 10.998+02 46 43.97         23.55gV     W84
     t44c1d7 |C2013 02 12.33243709 58 10.648+02 46 45.60         23.18rV     W84
     t44c1d7 |C2013 02 13.08282909 57 36.903+02 49 30.33         23.26iV     W84
     t44c1d7 |C2013 02 13.10464509 57 35.893+02 49 35.02         23.54iV     W84


     t44c1d7 |C2013 02 13.10464509 57 35.893+02 49 35.02         23.54iV     W84
