     t460b73 |C2015 04 25.03656513 46 34.224-15 31 56.02         22.59VV     W84
     t460b73 |C2015 04 25.07107513 46 32.444-15 31 39.49         22.57VV     W84
     t460b73 |C2015 04 26.10112013 45 41.007-15 23 07.53         23.08VV     W84
     t460b73 |C2015 04 26.13551413 45 39.259-15 22 50.51         23.18VV     W84
     t460b73 |C2015 04 27.11716513 44 50.636-15 14 40.45         22.93rV     W84
     t460b73 |C2015 04 27.11923213 44 50.516-15 14 39.18         23.10rV     W84


     t1a3fa9 |C2015 04 27.11923213 44 13.944-14 32 38.88         22.66rV     W84
     t460b73 |C2015 04 27.11923213 44 50.516-15 14 39.18         23.10rV     W84
     t8f1e39 |C2015 04 27.11923213 41 28.265-15 16 08.84         22.63rV     W84
