     t466577 |C2018 01 24.24374709 04 56.791+21 11 31.37         21.81iV     W84
     t466577 |C2018 01 24.24448209 04 56.739+21 11 31.65         21.47iV     W84
     t466577 |C2018 01 24.28359209 04 54.314+21 11 51.01         22.40gV     W84
     t466577 |C2018 01 24.28433309 04 54.265+21 11 51.42         22.58gV     W84
     t466577 |C2018 01 25.22380209 03 58.192+21 19 39.13         22.10iV     W84
     t466577 |C2018 01 25.27869709 03 54.742+21 20 06.29         22.52gV     W84
     t466577 |C2018 01 26.28085709 02 54.085+21 28 22.79         22.56gV     W84
     t466577 |C2018 01 26.28160009 02 54.026+21 28 22.98         22.48gV     W84
     t466577 |C2018 01 27.23949309 01 55.658+21 36 14.45         21.62iV     W84
     t466577 |C2018 01 27.24170209 01 55.512+21 36 15.52         21.67iV     W84
     t466577 |C2018 01 27.28037009 01 53.040+21 36 34.43         21.46iV     W84


     t466577 |C2018 01 27.28037009 01 53.040+21 36 34.43         21.46iV     W84
