     t4728de |C2014 03 03.11935310 22 09.463-04 59 09.69         23.75gV     W84
     t4728de |C2014 03 03.21064110 22 06.789-04 58 46.90         23.73gV     W84
     t4728de |C2014 03 03.31771010 22 03.679-04 58 20.46         22.79gV     W84
     t4728de |C2014 03 04.02835110 21 43.615-04 55 24.10         23.96gV     W84
     t4728de |C2014 03 04.12072910 21 40.937-04 55 01.12         23.20gV     W84
     t4728de |C2014 03 04.31677910 21 35.239-04 54 12.21         23.49gV     W84
     t4728de |C2014 03 05.13254810 21 12.301-04 50 47.21         23.74gV     W84
     t4728de |C2014 03 05.22476010 21 09.621-04 50 23.97         23.32gV     W84
     t4728de |C2014 03 05.32070710 21 06.833-04 49 59.61         23.09gV     W84


     t4728de |C2014 03 05.32070710 21 06.833-04 49 59.61         23.09gV     W84
