     t4a3b5f |C2015 04 25.00214013 43 01.165-14 55 54.94         22.67VV     W84
     t4a3b5f |C2015 04 25.03656513 42 58.855-14 56 00.06         22.54VV     W84
     t4a3b5f |C2015 04 25.07107513 42 56.493-14 56 05.47         22.54VV     W84
     t4a3b5f |C2015 04 25.10555713 42 54.157-14 56 10.62         23.03gV     W84
     t4a3b5f |C2015 04 26.10112013 41 47.956-14 58 35.67         22.92VV     W84
     t4a3b5f |C2015 04 26.13551413 41 45.617-14 58 40.58         22.05VV     W84
     t4a3b5f |C2015 04 27.11716513 40 40.578-15 01 01.77         22.69rV     W84
     t4a3b5f |C2015 04 27.11923213 40 40.431-15 01 02.14         22.78rV     W84


     t4a3b5f |C2015 04 27.11923213 40 40.431-15 01 02.14         22.78rV     W84
