     t4c1722 |C2015 01 19.21103209 03 49.128-03 21 33.94         23.51gV     W84
     t4c1722 |C2015 01 19.23431909 03 48.056-03 21 28.77         23.63gV     W84
     t4c1722 |C2015 01 19.27686009 03 46.111-03 21 19.55         23.40gV     W84
     t4c1722 |C2015 01 19.29705309 03 45.181-03 21 15.19         23.65gV     W84
     t4c1722 |C2015 01 19.33402609 03 43.480-03 21 06.90         23.14gV     W84
     t4c1722 |C2015 01 19.35647909 03 42.463-03 21 02.09         23.21gV     W84
     t4c1722 |C2015 01 21.26260209 02 17.614-03 13 25.97         23.03gV     W84
     t4c1722 |C2015 01 21.29337709 02 16.142-03 13 17.90         23.50gV     W84
     t4c1722 |C2015 01 21.30172909 02 15.747-03 13 15.97         23.67gV     W84
     t4c1722 |C2015 01 21.31764009 02 14.996-03 13 11.78         23.49gV     W84
     t4c1722 |C2015 01 21.32678209 02 14.553-03 13 09.23         23.37gV     W84
     t4c1722 |C2015 01 21.35478309 02 13.216-03 13 01.84         23.47gV     W84
     t4c1722 |C2015 01 22.23143209 01 33.200-03 09 06.98         23.45gV     W84
     t4c1722 |C2015 01 22.25291109 01 32.164-03 09 01.08         23.81gV     W84
     t4c1722 |C2015 01 22.27402509 01 31.129-03 08 55.21         23.61gV     W84
     t4c1722 |C2015 01 22.29866609 01 29.936-03 08 48.35         23.36gV     W84
     t4c1722 |C2015 01 22.34131109 01 27.856-03 08 36.42         23.69gV     W84
     t4c1722 |C2015 01 22.36123809 01 26.893-03 08 30.92         23.32gV     W84
     t4c1722 |C2015 01 23.21045209 00 47.533-03 04 27.01         23.17gV     W84
     t4c1722 |C2015 01 23.23157509 00 46.479-03 04 20.81         23.48gV     W84
     t4c1722 |C2015 01 23.27401409 00 44.385-03 04 08.31         23.27gV     W84
     t4c1722 |C2015 01 23.29758709 00 43.208-03 04 01.35         23.47gV     W84
     t4c1722 |C2015 01 23.32565209 00 41.824-03 03 53.25         23.34gV     W84
     t4c1722 |C2015 01 23.36488609 00 39.881-03 03 41.12         23.44gV     W84
     t4c1722 |C2015 01 24.20626509 00 00.300-02 59 23.42         23.44gV     W84
     t4c1722 |C2015 01 24.21563808 59 59.831-02 59 20.53         23.02gV     W84
     t4c1722 |C2015 01 24.22466408 59 59.371-02 59 17.76         23.60gV     W84
     t4c1722 |C2015 01 24.23369408 59 58.911-02 59 15.09         23.09gV     W84
     t4c1722 |C2015 01 24.24271108 59 58.475-02 59 12.20         23.50gV     W84
     t4c1722 |C2015 01 24.26288808 59 57.445-02 59 05.94         22.36gV     W84


     t12814b |C2015 01 24.28787609 01 00.965-02 51 26.08         23.58gV     W84
     t12814b |C2015 01 24.32647509 00 58.840-02 51 28.33         23.21gV     W84
     t12814b |C2015 01 24.35751409 00 57.116-02 51 29.90         23.28gV     W84
     t2f3bec |C2015 01 24.26661409 00 10.635-02 48 40.64         22.30gV     W84
     t2f3bec |C2015 01 24.27246609 00 10.095-02 48 44.28         22.53gV     W84
     t2f3bec |C2015 01 24.28289609 00 09.142-02 48 51.08         22.08gV     W84
     t2f3bec |C2015 01 24.30213509 00 07.372-02 49 03.39         22.03gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t391fd1 |C2015 01 24.28289609 00 42.618-03 08 04.33         23.71gV     W84
     t391fd1 |C2015 01 24.35302309 00 38.687-03 08 10.67         23.25gV     W84
     t391fd1 |C2015 01 24.35751409 00 38.446-03 08 11.01         23.23gV     W84
     t4c1722 |C2015 01 24.26288808 59 57.445-02 59 05.94         22.36gV     W84
     tff77dd |C2015 01 24.27123708 59 47.789-02 48 33.06         22.82gV     W84
     tff77dd |C2015 01 24.32104008 59 44.921-02 48 26.61         22.65gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
