     t4f9119 |C2014 03 02.16529011 04 56.098-04 20 38.24         22.98gV     W84
     t4f9119 |C2014 03 02.25578811 04 53.431-04 20 22.75         22.71gV     W84
     t4f9119 |C2014 03 03.06267811 04 30.353-04 18 02.20         22.70gV     W84
     t4f9119 |C2014 03 03.15449611 04 27.666-04 17 45.95         22.99gV     W84
     t4f9119 |C2014 03 03.35799311 04 21.663-04 17 10.07         22.44gV     W84
     t4f9119 |C2014 03 04.15748911 03 58.762-04 14 48.39         22.95gV     W84
     t4f9119 |C2014 03 04.24822911 03 56.093-04 14 32.22         22.84gV     W84
     t4f9119 |C2014 03 04.35195711 03 53.029-04 14 13.52         23.54gV     W84


     t4f9119 |C2014 03 04.35195711 03 53.029-04 14 13.52         23.54gV     W84
