     t535f60 |C2013 01 04.21244807 58 59.463+00 40 49.79         22.85rV     W84
     t535f60 |C2013 01 04.23545107 58 58.712+00 40 48.81         23.24rV     W84
     t535f60 |C2013 01 04.25499907 58 58.054+00 40 47.68         22.70rV     W84
     t535f60 |C2013 01 05.21077407 58 27.062+00 40 00.91         22.44rV     W84
     t535f60 |C2013 01 05.22112207 58 26.713+00 40 00.36         22.35rV     W84
     t535f60 |C2013 01 05.24202307 58 26.013+00 39 59.40         22.73rV     W84
     t535f60 |C2013 01 06.23113307 57 53.590+00 39 17.47         22.79rV     W84
     t535f60 |C2013 01 06.24167707 57 53.263+00 39 17.29         22.18rV     W84
     t535f60 |C2013 01 06.25203807 57 52.891+00 39 16.54         22.86rV     W84


     t535f60 |C2013 01 06.25203807 57 52.891+00 39 16.54         22.86rV     W84
