     t54ce44 |C2015 01 18.21070109 03 12.410-02 28 41.57         23.78gV     W84
     t54ce44 |C2015 01 18.23536009 03 11.173-02 28 36.35         24.15gV     W84
     t54ce44 |C2015 01 18.26682709 03 09.582-02 28 29.39         23.21gV     W84
     t54ce44 |C2015 01 18.29949409 03 07.927-02 28 22.38         23.59gV     W84
     t54ce44 |C2015 01 18.32981609 03 06.400-02 28 15.68         23.75gV     W84
     t54ce44 |C2015 01 18.35115709 03 05.336-02 28 10.97         23.64gV     W84
     t54ce44 |C2015 01 19.21103209 02 23.377-02 24 57.02         23.28gV     W84
     t54ce44 |C2015 01 19.24105309 02 21.848-02 24 49.96         23.44gV     W84
     t54ce44 |C2015 01 19.25560009 02 21.117-02 24 46.60         23.46gV     W84
     t54ce44 |C2015 01 19.27350109 02 20.188-02 24 42.43         23.64gV     W84
     t54ce44 |C2015 01 19.29705309 02 18.980-02 24 36.93         23.80gV     W84
     t54ce44 |C2015 01 19.34524609 02 16.506-02 24 25.68         22.89gV     W84
     t54ce44 |C2015 01 20.23039409 01 32.677-02 20 52.95         23.45gV     W84
     t54ce44 |C2015 01 20.24764909 01 31.799-02 20 48.96         23.51gV     W84
     t54ce44 |C2015 01 20.28170209 01 30.012-02 20 40.50         23.28gV     W84
     t54ce44 |C2015 01 20.29779109 01 29.174-02 20 36.55         23.47gV     W84
     t54ce44 |C2015 01 20.32006309 01 28.033-02 20 31.18         23.88gV     W84
     t54ce44 |C2015 01 20.35158109 01 26.392-02 20 23.14         23.31gV     W84
     t54ce44 |C2015 01 21.20796509 00 43.524-02 16 45.47         23.51gV     W84
     t54ce44 |C2015 01 21.24290309 00 41.691-02 16 36.31         23.74gV     W84
     t54ce44 |C2015 01 21.27327209 00 40.099-02 16 28.54         23.39gV     W84
     t54ce44 |C2015 01 21.29925909 00 38.743-02 16 21.74         23.44gV     W84
     t54ce44 |C2015 01 21.32005309 00 37.646-02 16 16.14         23.30gV     W84
     t54ce44 |C2015 01 21.35354809 00 35.883-02 16 07.54         23.34gV     W84
     t54ce44 |C2015 01 22.25291108 59 50.251-02 12 06.03         23.41gV     W84
     t54ce44 |C2015 01 22.27899708 59 48.886-02 11 58.97         23.55gV     W84
     t54ce44 |C2015 01 22.29208508 59 48.186-02 11 55.24         23.68gV     W84
     t54ce44 |C2015 01 22.30113208 59 47.700-02 11 52.78         23.79gV     W84
     t54ce44 |C2015 01 22.31998308 59 46.693-02 11 47.40         23.18gV     W84
     t54ce44 |C2015 01 22.32353108 59 46.519-02 11 46.58         23.51gV     W84


     P10inuX* C2015 01 23.39806 08 55 15.558-01 43 37.50         21.5 wL     F51
     P10inuX  C2015 01 23.41143 08 55 14.823-01 43 36.15         21.4 wL     F51
     P10inuX  C2015 01 23.42476 08 55 14.107-01 43 35.00         21.4 wL     F51
     t01adcf |C2015 01 22.33026008 59 53.606-01 56 42.83         23.38gV     W84
     t01adcf |C2015 01 22.34755408 59 52.577-01 56 44.59         23.70gV     W84
     t1ab4f6 |C2015 01 22.34261708 59 07.514-02 15 50.69         23.56gV     W84
     t1ab4f6 |C2015 01 22.34385208 59 07.468-02 15 50.18         23.43gV     W84
     t54ce44 |C2015 01 22.32353108 59 46.519-02 11 46.58         23.51gV     W84
     t5a8fba |C2015 01 22.33493209 00 07.681-02 20 50.38         23.39gV     W84
     t5a8fba |C2015 01 22.35620609 00 06.744-02 20 41.53         23.58gV     W84
     t5a8fba |C2015 01 23.20843608 59 30.764-02 14 42.78         23.79gV     W84
     t5a8fba |C2015 01 23.24277608 59 29.258-02 14 28.06         23.51gV     W84
     t5a8fba |C2015 01 23.25949608 59 28.517-02 14 21.15         23.61gV     W84
     t5a8fba |C2015 01 23.27176408 59 27.975-02 14 15.64         23.29gV     W84
     t5a8fba |C2015 01 23.29421108 59 26.990-02 14 05.98         23.07gV     W84
     t5a8fba |C2015 01 23.34806708 59 24.619-02 13 43.27         23.25gV     W84
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     t877459 |C2015 01 23.21925909 00 24.978-02 21 02.69         23.29gV     W84
     t877459 |C2015 01 23.23940709 00 24.074-02 20 59.22         23.55gV     W84
     t877459 |C2015 01 23.27288209 00 22.539-02 20 53.71         23.64gV     W84
     t877459 |C2015 01 23.29084309 00 21.741-02 20 50.57         23.38gV     W84
     t877459 |C2015 01 23.31667509 00 20.582-02 20 46.18         23.25gV     W84
     t877459 |C2015 01 23.35924109 00 18.660-02 20 38.97         23.44gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     ta713ef |C2015 01 22.33865408 59 30.440-02 02 00.47         22.80gV     W84
     ta713ef |C2015 01 22.36934408 59 28.823-02 01 57.60         22.74gV     W84
     taa4eb5 |C2015 01 23.21367209 00 28.466-02 20 03.21         23.05gV     W84
     taa4eb5 |C2015 01 23.31107609 00 22.642-02 20 18.44         23.21gV     W84
     taa4eb5 |C2015 01 23.32453809 00 21.831-02 20 20.46         23.00gV     W84
     taa4eb5 |C2015 01 23.33798609 00 21.039-02 20 22.71         22.74gV     W84
     taa4eb5 |C2015 01 23.35366309 00 20.100-02 20 25.04         23.27gV     W84
     taa4eb5 |C2015 01 23.36734209 00 19.277-02 20 27.03         23.16gV     W84
     tc522a5 |C2015 01 23.20843609 00 35.617-02 19 04.79         23.44gV     W84
