     t561d55 |C2015 01 22.34755409 04 15.152-03 11 36.57         23.32gV     W84
     t561d55 |C2015 01 22.34879609 04 15.089-03 11 36.23         23.37gV     W84
     t561d55 |C2015 01 22.35003809 04 15.045-03 11 35.62         23.04gV     W84
     t561d55 |C2015 01 22.35126809 04 14.982-03 11 35.16         23.50gV     W84
     t561d55 |C2015 01 22.36799309 04 14.179-03 11 28.98         23.03gV     W84
     t561d55 |C2015 01 23.20843609 03 36.653-03 06 10.65         23.33gV     W84
     t561d55 |C2015 01 23.23605609 03 35.323-03 05 59.92         23.61gV     W84
     t561d55 |C2015 01 23.27288209 03 33.557-03 05 45.63         23.32gV     W84
     t561d55 |C2015 01 23.29871809 03 32.318-03 05 35.60         23.45gV     W84
     t561d55 |C2015 01 23.32900409 03 30.868-03 05 23.73         23.36gV     W84
     t561d55 |C2015 01 23.35701909 03 29.547-03 05 12.83         23.19gV     W84
     t561d55 |C2015 01 24.20426709 02 51.067-02 59 35.38         23.40gV     W84
     t561d55 |C2015 01 24.23146109 02 49.721-02 59 24.59         23.51gV     W84
     t561d55 |C2015 01 24.25791909 02 48.422-02 59 13.71         23.63gV     W84
     t561d55 |C2015 01 24.31427409 02 45.713-02 58 50.99         23.16gV     W84
     t561d55 |C2015 01 24.34355709 02 44.279-02 58 38.65         23.45gV     W84
     t561d55 |C2015 01 24.35751409 02 43.621-02 58 32.96         23.34gV     W84
     t561d55 |C2015 01 25.27693109 02 00.997-02 52 08.64         23.14gV     W84
     t561d55 |C2015 01 25.29155409 02 00.283-02 52 02.40         23.61gV     W84
     t561d55 |C2015 01 25.30389909 01 59.669-02 51 57.23         23.31gV     W84
     t561d55 |C2015 01 25.32297709 01 58.752-02 51 48.86         23.34gV     W84
     t561d55 |C2015 01 25.34430809 01 57.695-02 51 39.75         23.20gV     W84
     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84


     t561d55 |C2015 01 25.36445709 01 56.703-02 51 31.12         23.00gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
