     t5a8fba |C2015 01 18.21181509 02 57.341-02 47 39.62         23.67gV     W84
     t5a8fba |C2015 01 18.29949409 02 53.718-02 47 07.42         23.79gV     W84
     t5a8fba |C2015 01 18.30964609 02 53.301-02 47 03.72         23.70gV     W84
     t5a8fba |C2015 01 18.32870009 02 52.520-02 46 56.99         23.85gV     W84
     t5a8fba |C2015 01 18.34326009 02 51.912-02 46 51.65         23.20gV     W84
     t5a8fba |C2015 01 18.36124209 02 51.171-02 46 44.76         23.33gV     W84
     t5a8fba |C2015 01 19.21103209 02 17.187-02 41 28.87         23.93gV     W84
     t5a8fba |C2015 01 19.24105309 02 15.924-02 41 17.73         23.53gV     W84
     t5a8fba |C2015 01 19.26791509 02 14.805-02 41 07.52         23.62gV     W84
     t5a8fba |C2015 01 19.28469809 02 14.099-02 41 01.13         24.03gV     W84
     t5a8fba |C2015 01 19.30489409 02 13.260-02 40 53.55         23.76gV     W84
     t5a8fba |C2015 01 19.34751909 02 11.472-02 40 37.63         23.72gV     W84
     t5a8fba |C2015 01 20.21322309 01 36.283-02 35 04.63         23.64gV     W84
     t5a8fba |C2015 01 20.24395409 01 34.980-02 34 52.68         23.66gV     W84
     t5a8fba |C2015 01 20.29529809 01 32.786-02 34 32.55         23.45gV     W84
     t5a8fba |C2015 01 20.29779109 01 32.694-02 34 31.73         23.48gV     W84
     t5a8fba |C2015 01 20.30891609 01 32.223-02 34 27.36         23.12gV     W84
     t5a8fba |C2015 01 20.34536909 01 30.680-02 34 13.01         23.44gV     W84
     t5a8fba |C2015 01 21.20796509 00 55.121-02 28 30.99         23.67gV     W84
     t5a8fba |C2015 01 21.22570009 00 54.355-02 28 23.88         23.77gV     W84
     t5a8fba |C2015 01 21.25276709 00 53.186-02 28 12.99         23.45gV     W84
     t5a8fba |C2015 01 21.26753009 00 52.551-02 28 06.78         23.42gV     W84
     t5a8fba |C2015 01 21.30172909 00 51.087-02 27 53.27         23.43gV     W84
     t5a8fba |C2015 01 21.35724309 00 48.710-02 27 30.71         23.43gV     W84
     t5a8fba |C2015 01 22.23817109 00 11.882-02 21 30.53         23.91gV     W84
     t5a8fba |C2015 01 22.25291109 00 11.237-02 21 24.29         23.66gV     W84
     t5a8fba |C2015 01 22.29478809 00 09.414-02 21 06.86         23.54gV     W84
     t5a8fba |C2015 01 22.31872209 00 08.369-02 20 57.02         23.58gV     W84
     t5a8fba |C2015 01 22.33493209 00 07.681-02 20 50.38         23.39gV     W84
     t5a8fba |C2015 01 22.35620609 00 06.744-02 20 41.53         23.58gV     W84
     t5a8fba |C2015 01 23.20843608 59 30.764-02 14 42.78         23.79gV     W84
     t5a8fba |C2015 01 23.24277608 59 29.258-02 14 28.06         23.51gV     W84
     t5a8fba |C2015 01 23.25949608 59 28.517-02 14 21.15         23.61gV     W84
     t5a8fba |C2015 01 23.27176408 59 27.975-02 14 15.64         23.29gV     W84
     t5a8fba |C2015 01 23.29421108 59 26.990-02 14 05.98         23.07gV     W84
     t5a8fba |C2015 01 23.34806708 59 24.619-02 13 43.27         23.25gV     W84


     P10inuX* C2015 01 23.39806 08 55 15.558-01 43 37.50         21.5 wL     F51
     P10inuX  C2015 01 23.41143 08 55 14.823-01 43 36.15         21.4 wL     F51
     P10inuX  C2015 01 23.42476 08 55 14.107-01 43 35.00         21.4 wL     F51
     t5a8fba |C2015 01 23.34806708 59 24.619-02 13 43.27         23.25gV     W84
     t602d1b |C2015 01 25.21224909 00 22.944-02 06 39.11         23.10gV     W84
     t602d1b |C2015 01 25.24321709 00 21.189-02 06 41.22         23.93gV     W84
     t602d1b |C2015 01 25.27356209 00 19.480-02 06 43.15         23.69gV     W84
     t602d1b |C2015 01 25.29380209 00 18.337-02 06 44.51         23.39gV     W84
     t602d1b |C2015 01 25.31623809 00 17.065-02 06 46.02         23.38gV     W84
     t602d1b |C2015 01 25.35998109 00 14.614-02 06 48.79         23.43gV     W84
     t877459 |C2015 01 23.35924109 00 18.660-02 20 38.97         23.44gV     W84
     t877459 |C2015 01 24.20426708 59 41.706-02 18 13.62         23.39gV     W84
     t877459 |C2015 01 24.21676308 59 41.128-02 18 11.54         23.09gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
     taa4eb5 |C2015 01 23.35366309 00 20.100-02 20 25.04         23.27gV     W84
     taa4eb5 |C2015 01 23.36734209 00 19.277-02 20 27.03         23.16gV     W84
     tc522a5 |C2015 01 23.35590609 00 26.258-02 19 44.41         22.69gV     W84
     tc522a5 |C2015 01 23.37106809 00 25.303-02 19 48.47         22.70gV     W84
     tc522a5 |C2015 01 24.20426708 59 33.937-02 23 27.39         23.07gV     W84
     tc522a5 |C2015 01 24.25420608 59 30.736-02 23 40.26         22.56gV     W84
     tc522a5 |C2015 01 24.27619008 59 29.324-02 23 46.00         22.33gV     W84
     tc522a5 |C2015 01 24.32374908 59 26.287-02 23 57.99         22.67gV     W84
     tc522a5 |C2015 01 24.34226408 59 25.095-02 24 02.77         22.78gV     W84
     tc522a5 |C2015 01 24.36442808 59 23.692-02 24 08.30         22.85gV     W84
     t877459 |C2015 01 24.23933308 59 40.104-02 18 07.70         23.23gV     W84
     t877459 |C2015 01 24.26538108 59 38.912-02 18 02.94         22.99gV     W84
     t877459 |C2015 01 24.28787608 59 37.886-02 17 59.07         23.41gV     W84
     t877459 |C2015 01 24.34226408 59 35.425-02 17 49.18         23.30gV     W84
     t877459 |C2015 01 25.21516908 58 56.854-02 15 09.41         23.46gV     W84
     t877459 |C2015 01 25.24321708 58 55.570-02 15 04.28         22.90gV     W84
     t877459 |C2015 01 25.26459008 58 54.582-02 15 00.28         23.17gV     W84
     t877459 |C2015 01 25.29718608 58 53.087-02 14 54.06         23.40gV     W84
     t877459 |C2015 01 25.31735808 58 52.165-02 14 50.11         22.79gV     W84
     t877459 |C2015 01 25.35662508 58 50.391-02 14 42.84         23.37gV     W84
