     t5bfd35 |C2015 01 18.21070109 04 26.714-02 32 19.62         22.80gV     W84
     t5bfd35 |C2015 01 18.21293809 04 26.534-02 32 20.54         23.22gV     W84
     t5bfd35 |C2015 01 18.22189409 04 25.817-02 32 24.55         23.01gV     W84
     t5bfd35 |C2015 01 18.22524509 04 25.555-02 32 26.05         22.68gV     W84
     t5bfd35 |C2015 01 18.36350109 04 14.517-02 33 28.11         23.11gV     W84
     t5bfd35 |C2015 01 18.36688709 04 14.277-02 33 29.63         22.93gV     W84
     t5bfd35 |C2015 01 19.22526909 03 08.034-02 39 47.09         23.19gV     W84
     t5bfd35 |C2015 01 19.24776809 03 06.219-02 39 56.96         22.95gV     W84
     t5bfd35 |C2015 01 19.26006609 03 05.213-02 40 02.39         23.08gV     W84
     t5bfd35 |C2015 01 19.32621809 02 59.858-02 40 30.70         22.92gV     W84
     t5bfd35 |C2015 01 19.35086709 02 57.874-02 40 41.30         22.75gV     W84
     t5bfd35 |C2015 01 19.36430509 02 56.793-02 40 47.07         22.76gV     W84
     t5bfd35 |C2015 01 20.20685709 01 50.818-02 46 42.39         22.99gV     W84
     t5bfd35 |C2015 01 20.21773109 01 49.929-02 46 46.77         23.38gV     W84
     t5bfd35 |C2015 01 20.22564009 01 49.282-02 46 50.03         22.98gV     W84
     t5bfd35 |C2015 01 20.27180709 01 45.466-02 47 09.13         23.54gV     W84
     t5bfd35 |C2015 01 20.29529809 01 43.541-02 47 18.90         23.25gV     W84
     t5bfd35 |C2015 01 20.35653009 01 38.523-02 47 44.02         22.76gV     W84
     t5bfd35 |C2015 01 21.21789309 00 30.092-02 53 30.93         23.05gV     W84
     t5bfd35 |C2015 01 21.25399709 00 27.097-02 53 45.21         22.72gV     W84
     t5bfd35 |C2015 01 21.30419309 00 22.919-02 54 04.85         23.00gV     W84
     t5bfd35 |C2015 01 21.32230609 00 21.403-02 54 11.96         22.52gV     W84
     t5bfd35 |C2015 01 21.34022109 00 19.922-02 54 19.03         23.22gV     W84
     t5bfd35 |C2015 01 21.35724309 00 18.512-02 54 25.77         23.00gV     W84


     P10izva* C2015 01 25.38189 08 53 47.915-03 41 04.06         21.3 wL     F51
     P10izva  C2015 01 25.39496 08 53 47.353-03 40 58.95         21.4 wL     F51
