     t5d298e |C2015 01 21.21231309 05 15.249-01 36 06.86         22.93gV     W84
     t5d298e |C2015 01 21.24660409 05 13.433-01 36 13.54         23.07gV     W84
     t5d298e |C2015 01 21.28221209 05 11.538-01 36 20.58         22.70gV     W84
     t5d298e |C2015 01 21.30905109 05 10.139-01 36 25.77         22.64gV     W84
     t5d298e |C2015 01 21.34258509 05 08.381-01 36 32.16         22.66gV     W84
     t5d298e |C2015 01 21.36717109 05 07.087-01 36 37.02         22.84gV     W84
     t5d298e |C2015 01 22.21258409 04 24.044-01 39 16.48         23.34gV     W84
     t5d298e |C2015 01 22.23817109 04 22.663-01 39 21.40         22.68gV     W84
     t5d298e |C2015 01 22.25516309 04 21.748-01 39 24.54         23.17gV     W84
     t5d298e |C2015 01 22.26906009 04 20.995-01 39 26.91         22.41gV     W84
     t5d298e |C2015 01 22.29343609 04 19.713-01 39 31.46         22.84gV     W84
     t5d298e |C2015 01 22.31872209 04 18.361-01 39 36.02         23.09gV     W84
     t5d298e |C2015 01 23.21925909 03 31.836-01 42 14.79         22.71gV     W84
     t5d298e |C2015 01 23.30543309 03 27.173-01 42 29.32         23.10gV     W84
     t5d298e |C2015 01 23.31444109 03 26.691-01 42 30.80         23.40gV     W84
     t5d298e |C2015 01 23.32115409 03 26.325-01 42 31.88         23.07gV     W84
     t5d298e |C2015 01 23.35812709 03 24.347-01 42 38.13         23.02gV     W84
     t5d298e |C2015 01 23.37106809 03 23.653-01 42 40.49         22.49gV     W84
     t5d298e |C2015 01 24.20426709 02 40.240-01 44 56.38         22.81gV     W84
     t5d298e |C2015 01 24.23933309 02 38.322-01 45 01.85         22.98gV     W84
     t5d298e |C2015 01 24.26413409 02 36.966-01 45 05.64         22.99gV     W84
     t5d298e |C2015 01 24.30347709 02 34.828-01 45 11.90         22.97gV     W84
     t5d298e |C2015 01 24.33683309 02 32.997-01 45 17.32         22.45gV     W84
     t5d298e |C2015 01 24.36442809 02 31.515-01 45 21.42         22.89gV     W84
     t5d298e |C2015 01 25.22638709 01 46.094-01 47 30.96         22.53gV     W84
     t5d298e |C2015 01 25.32970809 01 40.406-01 47 45.71         23.09gV     W84
     t5d298e |C2015 01 25.34766609 01 39.430-01 47 48.22         22.83gV     W84
     t5d298e |C2015 01 25.35550209 01 39.017-01 47 49.58         22.96gV     W84
     t5d298e |C2015 01 25.36221009 01 38.636-01 47 50.42         22.96gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84


     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
